GeneID	GSM4053401	GSM4053402	GSM4053403	GSM4053404	GSM4053405	GSM4053406	GSM4053407	GSM4053408	GSM4053409	GSM4053410	GSM4053411	GSM4053412
100287102	0	7	8	16	0	4	25	9	12	20	20	2
653635	2938	1766	3935	3102	2823	4085	2996	2749	2478	2628	2242	2258
102466751	16	4	3	13	11	7	2	10	2	4	10	10
107985730	0	0	0	0	0	6	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	1	0	0	0	10	0	0	0	17	0	0
79501	0	0	3	0	0	0	0	0	0	0	0	0
100996442	7	18	7	15	6	20	4	11	4	8	5	2
729737	521	6642	1150	2250	584	1379	794	1193	559	677	1538	490
102725121	0	7	16	15	3	2	19	1	15	47	20	2
102723897	1964	1887	4200	3620	2744	4298	4050	3013	2708	2998	2406	2371
102465909	16	4	7	26	15	16	8	11	3	12	8	14
107985721	0	0	0	0	0	4	0	0	0	0	0	0
112268260	0	0	1	1	7	3	6	0	0	0	4	0
729759	7	0	1	7	1	7	29	1	10	1	0	4
100132287	462	3007	793	1460	740	1096	1000	1032	500	737	1132	681
105378947	0	0	0	0	0	0	0	0	0	0	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	6	5	8	4	2	9	11	14	7	5	4	9
81399	9	8	18	35	12	11	50	11	20	3	6	4
100133331	522	2588	989	1713	899	1380	1168	1395	845	824	1225	978
107984841	65	331	133	318	95	196	179	305	161	203	182	200
107984847	124	605	352	674	240	393	336	462	333	435	361	572
107984849	13	173	28	137	24	74	39	81	51	56	66	57
100288069	10	13	6	19	8	12	17	6	5	12	10	17
105378580	4	0	6	9	8	18	11	26	24	3	20	16
400728	0	0	0	1	0	0	0	1	1	0	0	0
79854	10	6	14	14	7	30	15	7	2	7	10	7
643837	4	6	4	7	4	7	0	2	12	13	5	4
107984850	0	0	0	0	0	0	0	0	0	0	0	0
284593	0	0	0	0	0	0	0	0	0	0	0	0
284600	0	0	0	0	0	0	0	0	0	0	0	0
100130417	0	0	0	0	0	0	0	0	0	0	0	0
107985728	0	0	0	0	1	0	0	0	1	0	0	0
148398	4	12	22	3	15	27	15	17	13	47	21	35
26155	2345	3283	1594	3579	2026	4162	2795	1525	944	2374	2274	2242
339451	53	76	28	108	62	97	63	32	19	56	12	36
84069	14	44	9	218	27	35	21	4	3	10	5	1
84808	7	6	1	6	0	0	1	0	1	1616	10	0
57801	40	137	72	43	13	49	27	62	85	112	61	43
9636	78	122	68	165	33	134	39	50	88	117	56	37
375790	2324	4000	2155	5250	2011	4400	3058	1810	1940	2845	2185	2327
100288175	1	2	1	1	1	0	3	2	0	1	1	0
112267874	0	2	1	1	1	0	2	2	0	0	1	0
105378948	1	2	1	1	1	0	3	2	0	1	1	0
401934	7	20	1	10	2	10	5	13	2	0	9	2
54991	60	84	98	151	95	113	155	85	38	27	80	124
254099	0	4	0	1	0	0	0	0	0	0	1	0
406984	1	2	5	5	8	9	9	9	0	0	15	24
406983	5	0	4	4	13	10	4	6	1	0	13	2
554210	3	2	7	5	6	12	5	7	0	0	2	2
100506376	0	0	16	59	47	6	9	31	9	105	67	42
254173	8	5	11	16	14	9	0	14	0	27	12	20
8784	12	10	11	22	3	16	6	6	1	6	1	8
7293	14	15	10	16	8	9	15	2	2	15	4	1
51150	698	1268	1551	1429	1005	2264	1022	1485	1333	1548	1939	1750
126792	6	7	9	9	4	16	7	6	6	9	5	3
388581	1	8	14	4	7	35	30	74	21	5	77	47
118424	179	218	362	388	143	457	320	354	312	324	363	265
101928895	0	0	0	0	0	0	1	0	0	0	0	0
6339	2	10	10	43	0	3	22	9	12	27	7	4
116983	279	329	392	744	299	512	236	328	434	418	295	282
102465434	0	0	0	0	0	0	0	0	0	0	0	2
109623456	0	0	0	3	0	0	0	0	1	0	0	0
126789	39	78	86	79	47	121	56	49	46	20	45	112
54973	550	788	1160	764	625	1193	957	921	889	990	874	1035
102465435	1	1	1	1	1	2	1	1	0	0	0	0
80772	56	71	115	141	125	259	164	258	131	238	372	339
83756	2	13	26	37	16	73	30	35	15	21	34	30
1855	649	981	998	761	957	1616	832	780	873	2036	876	761
102466740	1	0	1	0	0	1	1	0	0	0	3	1
54587	37	169	532	440	70	173	91	347	589	1404	476	113
54998	337	392	658	368	365	555	449	572	470	626	477	740
81669	639	899	1157	1205	953	1294	987	646	517	687	594	683
148413	34	33	47	29	94	94	69	60	56	72	47	58
55052	318	513	736	635	326	786	682	516	662	763	572	658
107984868	0	0	0	0	0	0	0	0	0	0	0	0
441869	0	0	0	7	1	0	20	13	5	34	2	10
105378585	0	0	0	0	0	0	0	0	0	0	0	0
643965	0	0	0	0	0	0	0	0	0	0	0	0
102724312	0	0	0	0	0	0	0	0	1	0	0	0
107985729	0	0	0	0	0	0	0	0	0	0	0	0
64856	42	135	52	171	73	123	328	241	339	96	181	150
219293	255	89	115	101	130	318	154	38	41	54	60	86
83858	1718	1120	1200	1357	956	1841	1462	597	600	528	658	1108
55210	1621	1619	1967	2049	1535	2883	2201	800	888	1024	943	1475
339453	5	3	5	6	2	3	4	16	58	12	22	1
29101	484	463	1142	719	523	1382	773	774	895	1415	973	884
643988	4	14	5	4	5	11	4	3	4	1	2	3
105378586	3	14	5	2	4	10	4	3	4	1	2	3
142678	216	337	344	344	618	817	408	478	413	781	477	302
8510	7	13	52	29	20	29	16	61	107	103	38	19
984	1779	1953	2472	1843	2349	3529	2390	3226	2832	3060	4032	2825
728661	248	505	910	916	1022	1431	904	1011	650	893	1194	799
8511	8	13	50	39	20	25	13	65	109	101	39	17
728642	1301	1712	1587	1401	2020	2563	1817	2310	1557	1441	2705	2369
9906	188	381	709	744	646	933	685	695	507	734	798	554
112268218	0	2	0	1	4	0	0	0	0	0	0	0
65220	426	959	1057	857	676	1508	824	1535	1024	1361	1376	1337
2782	1584	4102	5917	3837	2582	6807	4011	6332	6202	5062	6879	4564
105378949	0	0	0	0	0	0	0	0	0	1	0	0
163688	0	0	0	0	0	0	1	0	0	47	0	1
339456	2	76	59	5	61	221	45	21	17	375	31	20
85452	0	2	2	1	4	10	22	0	0	40	0	0
107984872	0	0	0	0	0	2	3	0	0	0	0	0
105378589	0	0	0	0	0	0	0	0	0	0	0	0
2563	6	0	5	3	3	1	4	0	0	31	0	0
105378590	0	0	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	0	0	0	0
5590	251	512	903	500	872	1109	776	810	405	32	630	642
100506504	0	0	1	0	0	2	1	1	1	0	3	0
199990	69	272	381	336	268	567	354	411	290	366	308	239
112268219	5	2	5	11	5	7	13	4	8	13	2	4
105378593	0	0	0	0	0	0	0	0	0	0	0	0
6497	361	993	1360	1329	798	2109	1191	1647	3478	3239	2426	885
79906	66	78	172	129	95	98	103	139	106	153	166	118
100129534	0	0	0	1	2	0	1	2	0	2	1	7
11079	507	737	1304	1280	800	2135	1325	1561	1002	1095	1483	1429
5192	81	91	160	123	80	262	107	190	122	225	165	144
9651	16	29	59	476	62	90	47	87	96	28	85	37
55229	164	402	445	258	219	462	321	366	466	575	451	361
388585	2	1	0	5	0	4	0	1	3	0	8	1
115110	37	104	113	56	99	153	98	126	72	45	83	118
8764	416	601	608	340	537	734	532	662	348	263	484	668
100996583	0	0	0	0	0	0	0	0	0	0	0	0
127281	61	149	246	69	149	373	243	167	117	45	115	159
79258	9	157	181	13	41	53	303	71	31	4	35	40
105378597	0	0	0	0	0	0	0	0	0	0	0	0
100287898	0	1	2	0	1	0	0	0	0	2	1	0
105378603	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0
440556	0	0	0	0	0	0	0	2	1	13	0	0
63976	0	1	19	8	18	3	58	50	70	186	51	28
100422968	0	0	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0	0	0	0	0	0
107984909	0	0	0	0	0	0	0	0	0	0	0	0
105378605	0	0	0	0	0	0	0	0	0	0	0	0
105378604	0	0	0	0	0	0	2	0	0	0	0	0
27237	461	510	893	571	1016	1463	914	1204	433	20	881	1881
1953	104	109	304	407	111	83	74	145	249	615	134	29
105378608	0	0	0	0	0	0	0	0	0	0	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	0	0
127262	102	159	461	297	290	990	433	796	592	637	796	399
49856	73	232	325	229	253	332	198	133	151	168	134	173
7161	84	107	72	158	68	94	159	5	3	7	7	17
105378610	0	0	0	0	0	0	0	0	0	0	0	0
105378609	0	0	0	0	0	0	0	0	0	0	0	0
57212	6	41	21	83	5	19	12	132	196	305	96	31
148870	0	1	0	0	0	0	0	5	6	0	2	0
388588	0	7	0	0	2	5	6	1	12	4	0	0
57470	241	338	561	501	358	785	573	642	690	945	706	508
9731	289	489	1174	743	744	1401	818	912	1236	1163	1307	699
1677	54	83	132	70	71	204	198	56	50	41	67	91
107984910	0	0	0	0	0	0	0	0	1	0	0	0
339448	275	271	650	380	332	553	517	433	313	362	423	385
100133612	0	0	0	0	0	0	0	0	0	0	0	0
728716	0	0	0	0	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0
