GeneID	GSM2367963	GSM2367964	GSM2367966	GSM2367967	GSM2367969	GSM2367970	GSM2367974	GSM2367975	GSM2367977	GSM2367978
100287102	0	0	2	0	0	0	0	0	0	0
653635	176	570	284	476	528	169	238	236	227	249
102466751	0	0	0	0	0	0	0	1	0	0
107985730	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0
645520	24	1	30	1	0	0	0	0	0	0
79501	118	7	74	3	0	3	1	0	0	0
100996442	1	2	1	1	6	0	1	1	1	1
729737	20	27	26	29	133	16	16	15	31	8
102725121	0	0	1	0	0	0	0	0	0	0
102723897	30	28	53	61	211	80	91	122	165	117
102465909	0	0	0	0	0	0	0	0	0	0
107985721	0	0	1	0	0	0	0	0	0	0
112268260	0	0	2	0	0	0	1	0	0	0
729759	18	2	37	1	2	0	0	0	1	0
100132287	27	13	34	7	35	3	8	6	9	5
105378947	0	0	1	0	0	0	0	0	0	0
101928626	0	0	0	0	0	0	0	0	0	0
113219467	0	0	1	0	2	1	0	1	0	0
81399	16	2	38	1	2	0	0	1	1	1
100133331	13	6	18	3	13	2	6	6	5	7
107984841	16	15	19	14	56	7	11	15	15	11
107984847	33	26	42	70	94	28	49	60	32	19
107984849	17	15	17	5	14	2	12	9	3	2
100288069	14	41	12	42	66	11	47	39	28	28
105378580	0	0	0	0	0	0	0	0	0	0
400728	0	0	1	0	0	0	0	0	0	0
79854	21	18	58	1	23	3	14	16	7	9
643837	7	32	13	92	60	48	97	102	17	25
107984850	0	0	0	0	0	0	0	0	0	0
284593	0	3	1	0	0	0	0	0	0	1
284600	0	0	0	0	0	0	0	0	0	0
100130417	0	0	0	0	0	0	0	0	0	2
107985728	0	0	0	0	0	0	0	0	0	0
148398	1	13	7	13	32	6	42	14	64	31
26155	582	283	377	670	946	235	942	459	513	594
339451	30	12	24	18	35	8	44	17	38	23
84069	26	15	5	0	38	3	138	6	52	7
84808	5	0	3	0	1	0	1	0	1	0
57801	106	71	81	142	60	8	91	49	66	8
9636	497	1393	2001	777	345	377	585	473	589	395
375790	122	98	70	99	223	52	418	120	233	120
100288175	0	0	0	0	0	0	0	0	0	0
112267874	0	0	0	0	0	0	0	0	0	0
105378948	0	0	0	0	0	0	0	0	0	0
401934	0	0	1	0	1	0	0	0	0	0
54991	43	53	62	73	115	60	182	118	117	129
254099	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0
100506376	1	0	0	0	0	0	0	0	0	0
254173	0	0	0	0	1	0	0	0	0	0
8784	5	13	11	4	21	19	41	19	15	35
7293	10	3	20	3	52	12	52	10	69	18
51150	1239	3507	2137	3467	1863	2009	2749	4152	2058	2701
126792	64	39	145	50	119	20	185	79	53	35
388581	46	12	68	3	2	0	3	1	3	2
118424	166	205	479	209	406	314	554	542	134	186
101928895	0	0	1	0	0	0	0	0	0	0
