ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0098813,nuclear chromosome segregation,277,0.686017487200733,2.50978456010689,1e-10,1.43365853658537e-08,8.67146159767468e-09,1692,"tags=33%, list=10%, signal=30%",7153/22974/7272/4751/11065/24137/5347/11004/9319/983/1894/9928/83540/1063/9787/4085/64151/891/699/51203/701/990/991/1058/3833/332/221150/225689/29128/57405/57082/1062/23397/81620/25879/440145/151246/9700/64105/26271/56992/9212/55143/29127/84057/220134/151648/83903/84722/9493/146909/2491/81930/11130/54892/10388/9735/54908/9918/2177/92421/9055/10464/86/10615/10051/90417/147841/5901/10592/5925/3832/57820/79980/55055/9232/4439/10403/10460/55166/1104/348654/26151/23310/55920/91272/3619/23212/64682/8881/10459/285643,
GO:0000070,mitotic sister chromatid segregation,198,0.707375390096127,2.48690661318536,1e-10,1.43365853658537e-08,8.67146159767468e-09,1692,"tags=36%, list=10%, signal=33%",22974/7272/11065/24137/5347/11004/9319/983/9928/83540/1063/9787/4085/64151/891/699/51203/701/991/1058/3833/332/221150/29128/57405/57082/1062/23397/81620/440145/9700/64105/26271/56992/9212/55143/29127/220134/83903/84722/9493/146909/2491/81930/11130/54892/9735/54908/9918/92421/9055/10464/10615/10051/90417/147841/5901/10592/5925/3832/55055/10403/1104/348654/26151/23310/91272/3619/23212/8881/10459/285643,
GO:0000819,sister chromatid segregation,236,0.683291104592552,2.45192095588951,1e-10,1.43365853658537e-08,8.67146159767468e-09,1692,"tags=33%, list=10%, signal=30%",7153/22974/7272/11065/24137/5347/11004/9319/983/9928/83540/1063/9787/4085/64151/891/699/51203/701/990/991/1058/3833/332/221150/225689/29128/57405/57082/1062/23397/81620/440145/9700/64105/26271/56992/9212/55143/29127/220134/83903/84722/9493/146909/2491/81930/11130/54892/9735/54908/9918/92421/9055/10464/86/10615/10051/90417/147841/5901/10592/5925/3832/55055/10403/10460/1104/348654/26151/23310/91272/3619/23212/64682/8881/10459/285643,
GO:0006261,DNA-templated DNA replication,160,0.705246713139059,2.44958272679952,1e-10,1.43365853658537e-08,8.67146159767468e-09,2856,"tags=49%, list=16%, signal=42%",675/55388/144455/990/9837/10721/8318/10926/10293/51514/1602/641/4998/90381/79915/81620/9156/374393/26271/5984/5983/4176/10535/8914/4173/4171/3978/8317/5111/23594/5422/64785/29935/253714/545/51750/55159/4175/84296/56652/5557/4361/6742/5424/348654/4172/8451/4796/84515/92667/64318/7083/4999/672/5425/6240/11232/79733/11073/2237/63901/80174/11169/23595/23649/56897/5982/54465/1663/5427/146956/5558/5001/5985/4174/57418/29980/5965/1763,
GO:0000280,nuclear division,355,0.641701409426278,2.40677866005617,1e-10,1.43365853658537e-08,8.67146159767468e-09,1692,"tags=30%, list=10%, signal=28%",7153/22974/7272/4751/11065/24137/5347/11004/675/9319/983/9928/83540/1063/3552/9787/54443/4085/64151/891/10635/699/25788/51203/701/6790/2069/991/1058/3833/9088/332/8438/4288/221150/225689/29128/57405/57082/1062/23397/81620/25879/440145/151246/9700/64105/26271/56992/9212/55143/29127/84057/220134/1111/27338/151648/83903/84722/9493/146909/79866/2491/81930/3553/11130/54892/10388/9735/54908/9918/2177/92421/9055/83990/10464/157313/655/10615/10051/63979/90417/147841/5901/79080/10592/5925/3832/57820/55055/4361/9232/652/4439/10403/1104/348654/26151/23310/26013/91272/995/3619/23212/9585/8881/10459/285643,
GO:0140014,mitotic nuclear division,267,0.664680953206424,2.405910876709,1e-10,1.43365853658537e-08,8.67146159767468e-09,1692,"tags=34%, list=10%, signal=31%",22974/7272/4751/11065/24137/5347/11004/9319/983/9928/83540/1063/3552/9787/54443/4085/64151/891/699/51203/701/6790/2069/991/1058/3833/9088/332/4288/221150/29128/57405/57082/1062/23397/81620/440145/9700/64105/26271/56992/9212/55143/29127/220134/1111/27338/83903/84722/9493/146909/79866/2491/81930/3553/11130/54892/9735/54908/9918/92421/9055/10464/157313/655/10615/10051/90417/147841/5901/79080/10592/5925/3832/55055/652/10403/1104/348654/26151/23310/26013/91272/995/3619/23212/9585/8881/10459/285643,
GO:0051310,metaphase chromosome alignment,103,0.737596154083874,2.38137728119073,1e-10,1.43365853658537e-08,8.67146159767468e-09,1571,"tags=40%, list=9%, signal=36%",7272/4751/11004/983/1894/9928/83540/1063/891/1058/3833/332/221150/57405/57082/1062/81620/9212/55143/29127/220134/151648/84722/81930/11130/9735/54908/92421/10464/10615/90417/147841/5925/79980/55055/10403/55166/55920/91272/3619/23212,
GO:0050000,chromosome localization,113,0.71827007921203,2.36088151164929,1e-10,1.43365853658537e-08,8.67146159767468e-09,1571,"tags=38%, list=9%, signal=35%",7272/4751/11004/983/1894/9928/83540/1063/9787/891/1058/3833/332/7518/221150/57405/57082/1062/81620/9212/55143/29127/220134/151648/84722/81930/11130/9735/54908/92421/10464/10615/90417/147841/5925/79980/55055/10403/55166/55920/91272/3619/23212,
GO:0051304,chromosome separation,83,0.75343407534535,2.3580492585551,1e-10,1.43365853658537e-08,8.67146159767468e-09,1680,"tags=47%, list=10%, signal=43%",7272/11065/5347/9319/83540/1063/9787/4085/64151/891/699/701/991/332/221150/225689/57405/57082/23397/9700/26271/9212/55143/220134/83903/11130/54892/9735/54908/10051/147841/10592/5925/55055/10403/348654/3619/8881/10459,
GO:0008608,attachment of spindle microtubules to kinetochore,54,0.802760185887502,2.35455839585934,1.77933068986522e-09,1.97337845189203e-07,1.19359492003007e-07,1497,"tags=52%, list=9%, signal=48%",4751/11004/983/1894/83540/891/332/221150/57405/57082/1062/81620/9212/55143/29127/220134/151648/9735/10615/90417/147841/5925/79980/55055/10403/55920/91272/3619,0.788186810800237
