ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,0.763264168162432,2.68676970200789,1e-10,1.25e-09,5.44761129845004e-10,2121,"tags=55%, list=12%, signal=48%",7153/24137/4605/5347/9833/11004/675/9319/983/81624/83461/9787/4085/10635/6241/701/6790/9837/991/994/55635/332/2146/29028/4288/9133/1033/3159/1434/10549/57405/1164/1062/3070/79075/9700/3161/9212/55143/29127/1111/5983/27338/10733/146909/7112/3838/4609/4001/4176/9918/10535/3149/8914/1019/29089/4173/4171/10606/3978/5111/55723/10797/23594/6628/64785/10615/10051/4830/5591/253714/147841/5901/10212/3014/10528/4175/84296/1163/57122/11113/55646/4361/9232/5902/993/10460/11340/5424/4436/4172/6839/898/3925/7083/4999/672/4673/5425/3148/7884/79733/1786/7398/10248/5036/7514/23165/5631,
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,198,0.728852707130062,2.57515105048313,1e-10,1.25e-09,5.44761129845004e-10,1635,"tags=45%, list=9%, signal=42%",7153/22974/7272/4751/11065/24137/4605/5347/11004/675/983/1063/10024/4085/699/51203/6790/990/10721/991/1058/994/8318/10926/332/10293/8438/2146/4288/9133/1736/1033/3159/890/57082/1164/1062/9156/9700/3161/26271/56992/9212/29127/1111/27338/6491/899/9493/10733/7112/1869/51659/3838/4609/4001/3149/1019/4171/8317/9055/1871/23594/6541/5933/10051/8140/10592/10212/7027/3014/3832/4175/1163/6558/55872/9232/993/10403/10460/4172/1841/6839/6713/3925/8451/3619/9585/4953/4957,
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,200,0.697127770215226,2.45396266400388,1e-10,1.25e-09,5.44761129845004e-10,3605,"tags=62%, list=21%, signal=50%",4085/991/8318/3329/10549/890/11335/5984/3336/11260/3838/4609/4176/1019/4173/4171/8894/6732/5111/3066/10576/26354/4869/4830/5688/10575/5901/5230/1017/7027/9188/10528/6059/4175/23450/790/3376/6633/8662/5902/6742/9136/5478/3251/26156/10054/26986/7203/8886/55651/2091/6629/6637/3475/4953/4999/2739/6741/10856/4673/5425/3608/10213/5683/3326/6141/6240/5682/6193/22948/6188/6723/10146/7398/6627/5036/52/7514/6187/65005/11137/51690/9184/1964/23016/1933/1854/6128/10155/3015/1478/5691/4174/9221/3068/10492/6146/6599/6632/3939/51491/2058/6175/3615/54107/7411/5634/10574/10399/5690/7913/1665/1973/6204/6626/6432/6418/1207/3735/4686/6150/3183/9045/22916,
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,176,-0.687853986477435,-2.28970890511149,1e-10,1.25e-09,5.44761129845004e-10,2406,"tags=45%, list=14%, signal=40%",5837/5621/573/4046/25970/1346/4622/8082/1292/6876/25803/88/487/65055/3679/7169/4205/10290/5507/2878/8912/25937/5091/3908/4625/178/4209/2314/2702/58/1410/4641/7433/203/1384/4629/1134/845/1674/6261/79629/9172/6450/8736/4638/2775/6840/6535/1026/6764/624/6442/1152/1158/9215/7140/4621/816/4208/2273/6525/29970/1675/2247/1760/1837/115/4151/43/4619/1191/2934/10580/4842/4620/1756/4684/5348/26353/11155,
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,0.759632520292291,2.21654590788397,8.36322819344936e-08,8.36322819344936e-07,3.64476931185205e-07,3291,"tags=83%, list=19%, signal=67%",5347/6652/3329/11335/3336/10733/56915/80324/4609/1019/10196/4173/26354/4869/27346/23160/51154/10528/4839/705/27340/23223/9136/1844/8886/10171/6949/10199/6573/54663/79050/6723/5036/23481/10244/81887/51388/9238/4174/9221/23082/64216/51491/7374/56342/83743/92856/29078,0.704975715167238
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,200,0.543817507421738,1.91429450419482,2.11721438626746e-07,1.76434532188955e-06,7.6891740079144e-07,3226,"tags=37%, list=19%, signal=30%",6533/57761/5347/6652/699/6241/6790/23657/29968/6472/3329/3336/899/5464/4173/4171/9521/8894/10797/5723/8140/26747/908/27346/5230/10212/30001/440/993/5033/9136/5478/3251/8553/54541/6713/8833/2023/27071/5052/2717/10622/3475/10213/56902/10437/8624/10452/27101/6510/23165/26227/120/6715/5701/441024/6513/10963/1717/7037/51569/6509/60481/7852/7184/6319/3939/2058/7374/2597/10682/2539/7277/871,0.690132458796796
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,-0.545230177110768,-1.83124220019655,1.00764224346038e-06,7.1974445961456e-06,3.13671044015447e-06,3951,"tags=38%, list=23%, signal=29%",10975/1327/4698/516/1329/23479/7417/10476/5162/7385/4714/2109/4719/5018/518/2271/4723/36/211/51382/513/1352/4713/4720/54205/4259/23530/6390/51318/6834/1892/506/374291/1632/1528/1351/4707/8604/9377/4729/6392/4700/29796/7386/7384/1743/5264/3419/34/2108/8402/4329/1891/4967/840/3030/51660/5166/4129/3032/37/30/6389/1727/10939/291/38/9927/50/1374/788/498/10449/2110/54884,0.643551836150722
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,195,-0.545835918562953,-1.81268721783694,1.57432859650158e-06,9.83955372813486e-06,4.28816512488749e-06,3088,"tags=34%, list=18%, signal=29%",2040/4713/6239/84173/284/1031/4259/217/6342/19/847/10313/6390/2053/1892/57017/10162/8322/23786/483/27069/83549/8082/1351/8404/6453/5168/284119/25979/29796/58472/3033/3679/334/9936/7384/5264/3419/6623/34/4056/2878/84895/1891/80760/26994/112/8780/1384/79071/51/4638/54996/1376/50/27250/35/7263/400916/11343/3977/10449/8436/134147/54884/10580/26353,0.643551836150722
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,147,-0.553016537656857,-1.80107257680976,3.22318123812467e-05,0.00017906562434026,7.80383934656007e-05,2021,"tags=30%, list=12%, signal=27%",2954/6392/364/8639/3033/3155/57515/1743/912/2052/210/34/4056/8801/1891/51170/3158/2169/3032/37/30/1384/2168/6389/51/23710/10455/1376/58476/50/1374/4128/35/9588/11343/10449/126/2110/7358/3248/6584/54884/760/762,0.557332238758646
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,199,0.488438873797383,1.72244131947673,4.08223337258627e-05,0.000204111668629314,8.89536825736431e-05,1596,"tags=19%, list=9%, signal=18%",7153/22974/7272/4751/24137/5347/11004/675/983/1894/1063/9787/54443/699/51203/6790/332/9133/1062/9700/26271/56992/29127/9493/4001/9735/9055/10051/3832/80119/10403/163786/11190/5921/55835/3619/9585/64411,0.557332238758646
