ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa04110,Cell cycle,153,0.683807227446544,2.33967348742863,1e-10,3.40308652371991e-08,1.72087497717165e-08,1680,"tags=39%, list=10%, signal=35%",7272/5347/9319/983/4085/891/113130/699/701/990/991/994/8318/10926/9088/9133/890/4998/57082/90381/81620/9700/26271/9212/1111/151648/1869/157570/1875/4609/27085/4176/1019/4173/4171/8317/5111/3066/1871/23594/5933/5591/6502/1017/5925/545/7027/4175/9232/993/10403/9134/4172/898/995/4999/64682/8881/10459,
hsa05322,Systemic lupus erythematosus,121,0.665437724172817,2.22000371625476,4.19645617218412e-09,3.69288143152203e-07,1.86741865211862e-07,3104,"tags=58%, list=18%, signal=48%",8348/8336/8363/8356/8362/8970/8329/8332/8969/8343/8331/8341/92815/8339/717/8346/85235/8355/8358/8354/8294/8968/8330/8345/941/8342/8337/8344/128312/6628/8340/8370/3012/2214/554313/723790/3014/2904/3017/440689/8352/8368/8351/8360/6741/8335/3013/8347/3018/317772/653604/333932/126961/9555/8334/54145/8338/102724334/440686/3015/8349/8366/102723407/6632/8357/3122/2212/8350/940/85236,0.761460801445585
hsa04022,cGMP-PKG signaling pathway,135,-0.657201232763752,-2.11882043330816,1.42446914203155e-09,1.67137712665036e-07,8.45183057974572e-08,3032,"tags=44%, list=17%, signal=37%",154/5605/5997/805/4776/140/5894/6093/207/483/478/10398/107/10000/6722/4881/487/5581/7225/4205/3779/5532/493/5500/5140/1910/10335/572/3643/4625/4659/490/5595/5139/4209/153/477/10672/5592/2770/112/801/775/8654/4638/3708/291/2776/624/111/489/84699/4208/6546/5138/2767/5593/115/5350/3778,0.788186810800237
hsa04976,Bile secretion,64,-0.741648042849693,-2.11025955267652,7.92521570705762e-08,4.6494598814738e-06,2.35114185655371e-06,1638,"tags=47%, list=9%, signal=43%",79799/2052/1576/54577/54600/5566/477/6256/112/7367/8671/7366/54579/5567/111/9971/54657/3781/54659/54575/6548/6550/54658/54576/8647/115/200931/123264/760/343,0.704975715167238
hsa04020,Calcium signaling pathway,192,-0.617103651542467,-2.07105516965309,1.93357188847722e-10,3.40308652371991e-08,1.72087497717165e-08,2064,"tags=36%, list=12%, signal=32%",219931/5156/3360/5578/5137/487/80310/8913/116443/2255/5532/493/1910/9127/8912/490/5566/5154/818/4916/6869/153/1816/2254/6786/9630/5979/801/100130933/3707/775/5025/3706/845/6261/4638/3708/291/2776/817/624/84812/4915/5567/6262/2902/89832/489/2277/1139/5579/815/113026/5333/816/2774/2263/6546/5023/2767/2247/2260/773/115/51196/5350/6263/4842/6865,0.826657301178302
hsa04923,Regulation of lipolysis in adipocytes,50,-0.746344815961068,-2.06692225403466,2.63631308515543e-06,6.18654803983141e-05,3.12841758286497e-05,2134,"tags=46%, list=12%, signal=40%",107/10000/364/5295/4881/63924/57104/5140/3643/5566/153/5592/2770/112/51099/5567/111/11343/4886/5742/5593/115/54979,0.627256739718528
hsa04921,Oxytocin signaling pathway,127,-0.643013787591132,-2.05002521791597,3.68452877596253e-08,2.59390825827762e-06,1.31168919263019e-06,3121,"tags=46%, list=18%, signal=38%",4772/8605/5605/5997/805/140465/3759/4776/9254/814/5894/781/5565/6093/51422/1956/4637/29904/10398/107/4881/5578/3768/1827/4660/5532/5500/55799/5563/4659/5595/5566/818/54776/2770/112/801/775/6261/5598/4638/3708/2775/2776/1026/817/5567/6262/111/783/5579/815/2353/816/4208/782/115/6263,0.719512826338911
hsa04261,Adrenergic signaling in cardiomyocytes,121,-0.632197045815513,-2.01949188750921,1.68843716887925e-07,8.49042690636422e-06,4.29344452655757e-06,2547,"tags=43%, list=15%, signal=37%",4633/781/5526/5502/207/483/478/107/10000/5578/487/11149/7169/493/64091/5500/9252/55799/6331/4625/490/5595/7168/5566/818/153/477/2770/112/801/775/596/2776/817/5567/6262/5516/111/783/489/6330/815/84699/816/6332/782/6546/6548/115/5523/5521/5350,0.690132458796796
hsa03030,DNA replication,36,0.749015246320034,2.00536712854606,4.1294153107049e-05,0.000519126496202901,0.000262512219738053,3015,"tags=72%, list=17%, signal=60%",5984/5983/4176/10535/4173/4171/3978/5111/5422/29935/4175/5557/6742/5424/4172/5425/2237/23649/79621/5982/5427/5558/5985/4174/1763/54107,0.557332238758646
hsa04971,Gastric acid secretion,56,-0.695793344933897,-2.00370930031612,7.14231503470733e-06,0.000139671938456499,7.06293954701195e-05,1145,"tags=36%, list=7%, signal=33%",5566/818/477/2770/112/801/6752/4638/3708/2776/817/5567/111/5579/815/816/6548/115/760/6750,0.610526878385931
