ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0140014,mitotic nuclear division,83/1920,267/14198,0.310861423220974,2.2987554619226,8.47182473597464,5.5782084118176e-14,1.42395900101186e-10,1.42395900101186e-10,KIF4A/KIF14/AURKB/RAN/CDC14A/BMP7/BORA/CENPI/IL1A/MZT1/CENPA/CCDC86/MAD2L1/BUB1B/TPX2/KIF18A/NCAPG/KIF15/KAT2B/BUB1/CDC20/NUSAP1/ESPL1/TRIP13/KIF11/NCAPD2/CHEK1/ANLN/DYNC1I1/SPAG5/CDCA8/CHMP4C/HASPIN/KIF2C/CENPF/UBE2C/KIF18B/UBE2S/RACGAP1/CDK1/CENPE/KIF23/CCNB1/CDCA2/RB1/KNTC1/IL1B/TTK/PSRC1/PIBF1/NEK2/EDN3/DUSP1/PDXP/MKI67/SPC24/BTC/CENPK/KIFC1/CDT1/SKA3/EREG/SPDL1/FBXO5/PLK1/APC/NCAPG2/KNL1/ZWINT/SMC4/NUF2/SMC2/SKA1/KNSTRN/PRC1/TOM1L2/UHRF1/SPC25/AURKA/PKMYT1/BIRC5/NCAPH/DLGAP5,83
GO:0003013,circulatory system process,117/1920,436/14198,0.268348623853211,1.98438216743119,8.25565045338257,5.61498028790167e-14,1.42395900101186e-10,1.42395900101186e-10,SLC9A1/OR51E2/GNA13/ZEB2/GPR37L1/KLF2/TEK/HSD11B2/GJA5/JPH4/FLVCR2/SCN4A/EDNRA/RASL10B/HTR1D/CXCL12/SLC22A5/BDKRB2/CEACAM1/DMPK/P2RX4/CMA1/ANPEP/KAT2B/CAMK2D/HBB/PTGS1/C2CD4A/TNNT2/SLC16A7/TACR2/CORIN/SLC6A20/SPTBN4/ADRB1/TNNI2/SLC7A1/ATP1A2/CHGA/CARTPT/SLC38A5/KCNN2/CACNA1C/SCNN1G/NOS1/HSPB7/CASQ2/RYR2/NMU/DMD/FFAR3/GPER1/CYB5R3/ACVRL1/CAV1/TACR1/AGT/PLN/PRKG1/ATP2A3/SRI/SLC22A3/SLC38A3/ABL1/EDN3/GSN/PDE3A/VEGFA/PCSK5/CLDN5/GNA11/KCND3/SVEP1/P2RY1/SLC4A4/DRD5/TNNI3/ABCC2/SLC6A6/KCNMA1/CALM1/P2RX1/SLC6A4/SLC5A6/FXYD1/DES/PDE2A/SGK1/SCN4B/ECE1/CXCL10/SCN9A/KCNQ1/ANK2/GAB1/SLC28A2/SCNN1B/TPM1/ABCC8/SLC13A3/SMAD7/SCN7A/SLC7A5/GPD1L/PDE4D/AGTRAP/KCNA5/SLC2A4/SLC8A1/JPH2/ADAMTS16/CACNB2/ADCY6/CTSG/NOX1/OLR1/SLC1A1,117
GO:0008015,blood circulation,101/1920,364/14198,0.277472527472527,2.05185153388278,8.03926494656927,3.38014425026021e-13,4.13566684833691e-10,4.13566684833691e-10,SLC9A1/OR51E2/GNA13/ZEB2/GPR37L1/KLF2/TEK/HSD11B2/GJA5/JPH4/SCN4A/EDNRA/RASL10B/HTR1D/CXCL12/BDKRB2/CEACAM1/DMPK/P2RX4/CMA1/ANPEP/KAT2B/CAMK2D/HBB/PTGS1/C2CD4A/TNNT2/TACR2/CORIN/SPTBN4/ADRB1/TNNI2/ATP1A2/CHGA/CARTPT/KCNN2/CACNA1C/SCNN1G/NOS1/HSPB7/CASQ2/RYR2/NMU/DMD/FFAR3/GPER1/CYB5R3/ACVRL1/CAV1/TACR1/AGT/PLN/PRKG1/ATP2A3/SRI/ABL1/EDN3/GSN/PDE3A/VEGFA/PCSK5/CLDN5/GNA11/KCND3/SVEP1/P2RY1/DRD5/TNNI3/KCNMA1/CALM1/P2RX1/SLC6A4/FXYD1/DES/PDE2A/SGK1/SCN4B/ECE1/CXCL10/SCN9A/KCNQ1/ANK2/GAB1/SCNN1B/TPM1/ABCC8/SMAD7/SCN7A/GPD1L/PDE4D/AGTRAP/KCNA5/SLC8A1/JPH2/ADAMTS16/CACNB2/ADCY6/CTSG/NOX1/OLR1/SLC1A1,101
GO:0000280,nuclear division,99/1920,355/14198,0.27887323943662,2.06220950704225,8.01483050040429,4.16872436815319e-13,4.13566684833691e-10,4.13566684833691e-10,KIF4A/KIF14/AURKB/MAPK15/DCAF13/SYCP2/RAN/CDC14A/SGO1/RAD54B/BMP7/BORA/CENPI/IL1A/MZT1/CENPA/CCDC86/MAD2L1/BUB1B/TOP2A/TPX2/KIF18A/NCAPG/RAD51AP1/KIF15/KAT2B/BUB1/CDC20/NUSAP1/ESPL1/TRIP13/KIF11/CYP26B1/NCAPD2/CHEK1/ANLN/DYNC1I1/SPAG5/CDCA8/MND1/CHMP4C/HASPIN/KIF2C/CENPF/UBE2C/KIF18B/UBE2S/RACGAP1/BRCA2/CDK1/BRIP1/CENPE/KIF23/HSPA2/CCNB1/CDCA2/RB1/KNTC1/IL1B/TTK/RAD54L/PSRC1/PIBF1/NEK2/SGO2/EDN3/FIGNL1/DUSP1/PDXP/MKI67/SPC24/BTC/CENPK/KIFC1/CDT1/SKA3/EREG/SPDL1/FBXO5/PLK1/APC/NCAPG2/KNL1/ZWINT/SMC4/NUF2/SMC2/SKA1/KNSTRN/PRC1/TOM1L2/UHRF1/SPC25/AURKA/PKMYT1/BIRC5/NCAPH/FANCD2/DLGAP5,99
GO:0007088,regulation of mitotic nuclear division,46/1920,112/14198,0.410714285714286,3.03714657738095,8.55899039319018,4.64241541857119e-13,4.13566684833691e-10,4.13566684833691e-10,AURKB/BMP7/BORA/IL1A/MAD2L1/BUB1B/BUB1/CDC20/NUSAP1/ESPL1/TRIP13/CHEK1/DYNC1I1/CDCA8/HASPIN/CENPF/UBE2C/CCNB1/CDCA2/RB1/KNTC1/IL1B/TTK/NEK2/EDN3/DUSP1/PDXP/MKI67/SPC24/BTC/SKA3/EREG/SPDL1/FBXO5/PLK1/APC/KNL1/ZWINT/NUF2/SKA1/TOM1L2/SPC25/AURKA/PKMYT1/BIRC5/DLGAP5,46
GO:0003012,muscle system process,101/1920,366/14198,0.275956284153005,2.04063923041894,7.97596680139517,4.89235037263831e-13,4.13566684833691e-10,4.13566684833691e-10,SLC9A1/RYR1/FBXO32/LMOD1/TMOD1/MYLK/PDE9A/RPL36A/MYOM2/GJA5/GNAO1/JPH4/SCN4A/EDNRA/HTR1D/KLF4/BDKRB2/CAMK2G/DMPK/P2RX4/CAMK2D/CAMK2B/SNTB1/TNNT2/TACR2/TNNI2/SYNM/MYH2/ATP1A2/CHGA/CARTPT/CLCN1/KCNN2/CACNA1C/NOS1/SGCA/MYOCD/CASQ2/RYR2/NMU/DMD/MYH1/GPER1/MB/ITGA2/CRYAB/MYH11/MYH3/CAV1/CKMT2/TACR1/RYR3/TNNT3/AGT/PLN/PRKG1/SRI/KIT/IL1B/DTNA/ARRB1/EDN3/GSN/MYOT/SMTN/KCND3/CAMTA2/P2RY1/SMPX/SORBS2/TNNI3/CHRNA1/KCNMA1/CALM1/FXYD1/DES/SCN4B/SCN9A/RCSD1/GNAI1/STAC/KCNQ1/ANK2/TPM1/ABCC8/SMAD7/SCN7A/GPD1L/PDE4D/CACNB1/SLC6A8/IL6ST/ACTA1/KCNA5/CNN1/SLMAP/SLC8A1/JPH2/ASB2/CACNB2/JUND,101
GO:0051783,regulation of nuclear division,47/1920,117/14198,0.401709401709402,2.97055733618234,8.46350681860273,6.85543542309712e-13,4.96725263799265e-10,4.96725263799265e-10,AURKB/BMP7/BORA/IL1A/MAD2L1/BUB1B/RAD51AP1/BUB1/CDC20/NUSAP1/ESPL1/TRIP13/CHEK1/DYNC1I1/CDCA8/HASPIN/CENPF/UBE2C/CCNB1/CDCA2/RB1/KNTC1/IL1B/TTK/NEK2/EDN3/DUSP1/PDXP/MKI67/SPC24/BTC/SKA3/EREG/SPDL1/FBXO5/PLK1/APC/KNL1/ZWINT/NUF2/SKA1/TOM1L2/SPC25/AURKA/PKMYT1/BIRC5/DLGAP5,47
GO:1905818,regulation of chromosome separation,36/1920,78/14198,0.461538461538462,3.41298076923077,8.45023729420927,2.54044128933224e-12,1.61063977743664e-09,1.61063977743664e-09,AURKB/MAPK15/MAD2L1/BUB1B/NCAPG/BUB1/CDC20/ESPL1/TRIP13/DYNC1I1/CDCA8/HASPIN/CENPF/UBE2C/CCNB1/RB1/KNTC1/TTK/DUSP1/SPC24/SKA3/SPDL1/FBXO5/PLK1/APC/NCAPG2/KNL1/ZWINT/SMC4/NUF2/SMC2/SKA1/SPC25/BIRC5/NCAPH/DLGAP5,36
GO:0048285,organelle fission,105/1920,401/14198,0.261845386533666,1.93629208229426,7.52101224874055,5.92015635779918e-12,3.28749289131763e-09,3.28749289131763e-09,KIF4A/KIF14/AURKB/MAPK15/DCAF13/SYCP2/PRKN/RAN/CDC14A/SGO1/RAD54B/BMP7/BORA/CENPI/IL1A/MZT1/CENPA/CCDC86/MAD2L1/BUB1B/TOP2A/MAPT/TPX2/KIF18A/NCAPG/RAD51AP1/KIF15/KAT2B/BUB1/CDC20/NUSAP1/ESPL1/TRIP13/KIF11/PINK1/CYP26B1/NCAPD2/CHEK1/ANLN/DYNC1I1/SPAG5/CDCA8/MND1/CHMP4C/HASPIN/KIF2C/CENPF/UBE2C/KIF18B/UBE2S/RACGAP1/MTFR2/BRCA2/CDK1/BRIP1/CENPE/KIF23/HSPA2/CCNB1/CDCA2/RB1/KNTC1/IL1B/TTK/RAD54L/LRRK2/PSRC1/PIBF1/NEK2/SGO2/EDN3/FIGNL1/DUSP1/PDXP/MKI67/SPC24/BTC/CENPK/KIFC1/CDT1/SKA3/EREG/SPDL1/ACOX1/FBXO5/PLK1/APC/NCAPG2/KNL1/ZWINT/SMC4/NUF2/SMC2/SKA1/KNSTRN/PRC1/TOM1L2/UHRF1/SPC25/AURKA/PKMYT1/BIRC5/NCAPH/FANCD2/DLGAP5,105
GO:0000070,mitotic sister chromatid segregation,64/1920,198/14198,0.323232323232323,2.39023569023569,7.79008330362242,6.48165002231395e-12,3.28749289131763e-09,3.28749289131763e-09,KIF4A/KIF14/AURKB/RAN/CENPI/MZT1/CENPA/MAD2L1/BUB1B/TPX2/KIF18A/NCAPG/KIF15/KAT2B/BUB1/CDC20/NUSAP1/ESPL1/TRIP13/KIF11/NCAPD2/DYNC1I1/SPAG5/CDCA8/CHMP4C/HASPIN/KIF2C/CENPF/UBE2C/KIF18B/RACGAP1/CDK1/CENPE/KIF23/CCNB1/RB1/KNTC1/TTK/PSRC1/PIBF1/DUSP1/SPC24/CENPK/KIFC1/CDT1/SKA3/SPDL1/FBXO5/PLK1/APC/NCAPG2/KNL1/ZWINT/SMC4/NUF2/SMC2/SKA1/KNSTRN/PRC1/UHRF1/SPC25/BIRC5/NCAPH/DLGAP5,64
