ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030017,sarcomere,56/1998,175/14909,0.32,2.38782782782783,7.26476844760552,1.48119225102004e-10,5.00735742609465e-08,5.00735742609465e-08,RYR1/FBXO32/LMOD1/TMOD1/KCNN3/MYOM2/SYNE1/STYXL2/KY/KAT2B/TNNT2/TNNI2/MYH2/KCNN2/CACNA1C/NOS1/CASQ2/RYR2/FLNC/DMD/MYH1/CRYAB/MYH3/RYR3/ARHGEF25/TNNT3/OBSCN/SRI/SYNPO/SYNPO2/CMYA5/MYOT/MYZAP/IGFN1/PGM5/SMPX/SORBS2/TNNI3/CALM1/DES/PDLIM2/ANK2/DST/TPM1/CSRP1/PALLD/LDB3/ACTA1/KCNA5/SLMAP/SLC8A1/JPH2/NEBL/ASB2/NRAP/MYOM1,56
GO:0030016,myofibril,60/1998,194/14909,0.309278350515464,2.30782328720473,7.21269040935905,1.55266896933167e-10,5.00735742609465e-08,5.00735742609465e-08,RYR1/FBXO32/LMOD1/TMOD1/KCNN3/MYOM2/SYNE1/STYXL2/SVIL/KY/KAT2B/TNNT2/TNNI2/SYNM/MYH2/KCNN2/CACNA1C/NOS1/CASQ2/RYR2/FLNC/DMD/MYH1/CRYAB/MYH3/RYR3/ARHGEF25/TNNT3/OBSCN/SRI/SYNPO/SYNPO2/CMYA5/MYOT/MYZAP/IGFN1/PGM5/SMPX/SORBS2/TNNI3/CALM1/DES/PDLIM2/ANK2/VCL/DST/TPM1/CSRP1/AHNAK/PALLD/LDB3/ACTA1/KCNA5/SLMAP/SLC8A1/JPH2/NEBL/ASB2/NRAP/MYOM1,60
GO:0043292,contractile muscle fiber,61/1998,203/14909,0.300492610837438,2.2422644319196,7.01039166602155,4.00082947921738e-10,8.60178338031737e-08,8.60178338031737e-08,RYR1/FBXO32/LMOD1/TMOD1/KCNN3/MYOM2/SYNE1/STYXL2/SVIL/KY/KAT2B/TNNT2/TNNI2/SYNM/MYH2/KCNN2/CACNA1C/NOS1/CASQ2/RYR2/FLNC/DMD/MYH1/CRYAB/MYH11/MYH3/RYR3/ARHGEF25/TNNT3/OBSCN/SRI/SYNPO/SYNPO2/CMYA5/MYOT/MYZAP/IGFN1/PGM5/SMPX/SORBS2/TNNI3/CALM1/DES/PDLIM2/ANK2/VCL/DST/TPM1/CSRP1/AHNAK/PALLD/LDB3/ACTA1/KCNA5/SLMAP/SLC8A1/JPH2/NEBL/ASB2/NRAP/MYOM1,61
GO:0016324,apical plasma membrane,89/1998,348/14909,0.255747126436782,1.90837532935234,6.74507596407622,5.90737041960082e-10,9.52563480160632e-08,9.52563480160632e-08,SLC9A1/GNA13/CLCA4/CLDN1/ABCB11/TEK/CD44/GPIHBP1/MAL/SLC22A5/SLC4A11/CEACAM1/SLC6A14/CYBRD1/CRIPTO/CNTFR/MPDZ/PTPRO/GPR143/CA12/PTPRH/SLC11A2/SLC6A20/SLC39A4/SAPCD2/SLC7A1/SPTBN2/SLC7A11/SCNN1G/SLC26A3/AQP8/RAB27A/CA4/SLC36A1/ABCB5/CYP4F12/NAALADL1/AMN/IL6R/CAV1/KCNB1/SHROOM3/PAPPA2/SLC9A3/SLC9A2/TRPM6/SLC22A3/FOLR1/SLC38A3/SLC28A3/SLC20A2/ASPM/TF/MTCL1/DPEP1/SHROOM4/ITLN1/P2RY1/SORBS2/CBLIF/DRD5/ABCC2/ATP8B1/PLPP1/CLIC5/SLC6A6/KCNMA1/ECRG4/SLC5A6/FXYD1/CDHR2/SLC6A19/KCNQ1/SLC26A2/ANK2/SLC28A2/SCNN1B/SLC39A10/PRKG2/SLC7A5/PDE4D/SLC6A8/KIAA1614/KCNA5/CEACAM7/CDHR5/OCEL1/LIMA1/SLC1A1,89
GO:0000786,nucleosome,34/1998,94/14909,0.361702127659575,2.69900751815645,6.50033730528254,1.97096660730414e-08,2.54254692342234e-06,2.54254692342234e-06,H2AC16/H2BC15/H2BC10/H2BC9/H4C11/CENPA/H2BC17/H2BC26/H2BC13/H2AC25/H2AC15/H3C7/H2BC14/H2AC19/H4C9/H2AC11/H3C8/H1-5/H4C12/H4C14/H4C15/H3C11/H2BC11/H2AC17/H3C2/H2AX/H2BC8/H2AC12/H2AC8/H2AC18/H2BC6/H2AC13/H2BC7/H3C12,34
GO:0000793,condensed chromosome,67/1998,260/14909,0.257692307692308,1.9228901978902,5.90554810128824,5.73242399413167e-08,5.95810865556381e-06,5.95810865556381e-06,CENPH/MTBP/CENPN/BLM/AURKB/SYCP2/SGO1/CENPI/CBX3/CENPA/MAD2L1/BUB1B/TOP2A/KIF18A/NCAPG/KAT2B/BUB1/CDK2/CDC20/ACTL6A/NCAPD2/CHEK1/DYNC1I1/CENPW/SPAG5/CHMP4C/KIF2C/CENPF/SUN2/BRCA2/HJURP/CENPE/HSPA2/FIRRM/CCNB1/CDCA2/KNTC1/PHF6/TTK/NEK2/SGO2/MKI67/ERCC6L/H2AX/SPC24/MTCL1/CENPK/NIFK/CDT1/SKA3/SPDL1/PLK1/APC/NCAPG2/KNL1/ZWINT/SMC4/NUF2/SMC2/SKA1/KNSTRN/SPC25/AURKA/BIRC5/NCAPH/SYN1/FANCD2,67
GO:0042383,sarcolemma,38/1998,116/14909,0.327586206896552,2.44443581512547,6.14365200166411,6.46616443239483e-08,5.95810865556381e-06,5.95810865556381e-06,SLC9A1/RYR1/PDE9A/BSG/CAMK2D/SNTB1/SYNM/ATP1A2/CLCN1/CACNA1C/NOS1/SGCA/RYR2/FLNC/DMD/CAV1/RYR3/KCNB1/OBSCN/SRI/DTNA/MYOT/SNTG2/KCND3/PGM5/FXYD1/DES/STAC/ANK2/VCL/ABCC8/AHNAK/CACNB1/SLC2A4/SLMAP/SLC8A1/STBD1/CACNB2,38
GO:0045177,apical part of cell,99/1998,439/14909,0.225512528473804,1.68276590941739,5.71211992224466,7.55549930032545e-08,6.09162131088739e-06,6.09162131088739e-06,SLC9A1/GNA13/CLCA4/CLDN1/ABCB11/TEK/CD44/GPIHBP1/MAL/FLII/SLC22A5/SLC4A11/CEACAM1/SLC6A14/CYBRD1/CRIPTO/CNTFR/MPDZ/PTPRO/GPR143/CA12/PTPRH/SLC11A2/SLC6A20/SLC39A4/SAPCD2/CA2/SLC7A1/SPTBN2/SLC7A11/SCNN1G/SLC26A3/AQP8/RAB27A/CA4/SLC36A1/ABCB5/CYP4F12/NAALADL1/AMN/CHL1/IL6R/CAV1/KCNB1/SHROOM3/PAPPA2/SLC9A3/SLC9A2/TRPM6/SLC22A3/FOLR1/SLC38A3/SLC28A3/SLC20A2/ASPM/SERPINB5/TF/MTCL1/HOMER2/DPEP1/SHROOM4/ITLN1/P2RY1/SORBS2/CBLIF/DRD5/ABCC2/ATP8B1/PLPP1/CLIC5/SLC6A6/KCNMA1/ECRG4/SCIN/SLC5A6/FXYD1/MYO1C/CDHR2/SLC6A19/KCNQ1/SLC26A2/ANK2/ITGA8/VCL/SLC28A2/SCNN1B/SLC39A10/PRKG2/SLC7A5/PDE4D/SLC6A8/KIAA1614/KCNA5/EDAR/CEACAM7/CDHR5/OCEL1/LIMA1/SLC1A1,99
GO:0031526,brush border membrane,22/1998,50/14909,0.44,3.28326326326326,6.36170744435865,1.13875244112535e-07,8.16105916139834e-06,8.16105916139834e-06,GNA13/SLC22A5/CYBRD1/SLC11A2/SLC7A11/SLC26A3/AQP8/CA4/AMN/SLC9A3/TRPM6/FOLR1/SLC28A3/SLC20A2/ITLN1/DRD5/SLC5A6/CDHR2/SLC6A19/SLC28A2/CDHR5/LIMA1,22
GO:0000940,outer kinetochore,13/1998,20/14909,0.65,4.85027527527528,6.77799909917681,1.33943229477814e-07,8.58399495949805e-06,8.58399495949805e-06,BUB1B/BUB1/CENPF/CCNB1/SPC24/SKA3/SPDL1/PLK1/KNL1/ZWINT/NUF2/SKA1/SPC25,13
