ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030545,signaling receptor regulator activity,101/1910,396/14503,0.255050505050505,1.93664789253794,7.35991252143861,1.68136092608694e-11,1.3068086336727e-08,1.3068086336727e-08,ANGPTL3/SEMA6A/WNT5B/KITLG/RELN/BMP2/ICAM5/LYNX1/IL11/REG3A/IL1RN/BMP7/CCL13/INHBA/BMP5/SEMA7A/GUCA2A/SCG2/IL1A/CCL20/PCSK9/CXCL12/CXCL5/GDF15/TMEM35A/CD80/RAET1L/CRIPTO/CXCL9/LGI1/CNTFR/FGF2/CCL11/PLAU/WNT3/SECTM1/PMCH/ZP3/VEGFD/CARTPT/PSCA/CXCL8/C1QTNF12/CRIPTO3/SEMA3B/RETN/CCL14/CCL3/CSF1/TG/CCL23/PYY/NRG2/BMP3/AGT/LY6G6D/OGN/PTN/CCL3L3/CXCL6/GREM2/IL1B/SST/FGF9/CCL22/EFNA5/CHGB/JAG2/EDN3/VEGFA/WNT9A/BTC/P2RY1/NRXN1/MACC1/LIFR/LY6E/CMTM8/EREG/PDGFA/ECRG4/ULBP3/CXCL10/CXCL11/CLU/LIF/PDE4D/SHH/IL6ST/PGF/NRXN3/TTR/ULBP2/EPHA7/CXCL1/NCR3LG1/CTSG/GCG/OSGIN1/VIP/TNFSF11,101
GO:0030527,structural constituent of chromatin,35/1910,81/14503,0.432098765432099,3.28100963092237,8.01720364280801,2.44720717916237e-11,1.3068086336727e-08,1.3068086336727e-08,H2AC16/H2BC15/H2BC10/H2BC9/H4C11/CENPA/H2BC17/H2BC26/H2BC13/H2AC25/H2AC15/H3C7/H2BC14/H2AC19/H4C9/H2AC11/H3C8/H1-5/H4C12/HMGA1/H4C14/H4C15/H3C11/H2BC11/H2AC17/H3C2/H2AX/H2BC8/H2AC12/H2AC8/H2AC18/H2BC6/H2AC13/H2BC7/H3C12,35
GO:0048018,receptor ligand activity,91/1910,353/14503,0.257790368271955,1.95745220473726,7.09238444508406,9.35810236989106e-11,3.33148444368122e-08,3.33148444368122e-08,ANGPTL3/SEMA6A/WNT5B/KITLG/RELN/BMP2/ICAM5/IL11/REG3A/IL1RN/BMP7/CCL13/INHBA/BMP5/SEMA7A/GUCA2A/SCG2/IL1A/CCL20/CXCL12/CXCL5/GDF15/CD80/RAET1L/CRIPTO/CXCL9/LGI1/CNTFR/FGF2/CCL11/PLAU/WNT3/SECTM1/PMCH/ZP3/VEGFD/CARTPT/CXCL8/C1QTNF12/CRIPTO3/SEMA3B/RETN/CCL14/CCL3/CSF1/TG/CCL23/PYY/NRG2/BMP3/AGT/OGN/PTN/CCL3L3/CXCL6/GREM2/IL1B/SST/FGF9/CCL22/EFNA5/CHGB/JAG2/EDN3/VEGFA/WNT9A/BTC/MACC1/LIFR/CMTM8/EREG/PDGFA/ECRG4/ULBP3/CXCL10/CXCL11/CLU/LIF/SHH/IL6ST/PGF/TTR/ULBP2/EPHA7/CXCL1/NCR3LG1/CTSG/GCG/OSGIN1/VIP/TNFSF11,91
GO:0030546,signaling receptor activator activity,91/1910,362/14503,0.251381215469613,1.90878626594545,6.81933477869179,3.89439749150298e-10,1.0398041302313e-07,1.0398041302313e-07,ANGPTL3/SEMA6A/WNT5B/KITLG/RELN/BMP2/ICAM5/IL11/REG3A/IL1RN/BMP7/CCL13/INHBA/BMP5/SEMA7A/GUCA2A/SCG2/IL1A/CCL20/CXCL12/CXCL5/GDF15/CD80/RAET1L/CRIPTO/CXCL9/LGI1/CNTFR/FGF2/CCL11/PLAU/WNT3/SECTM1/PMCH/ZP3/VEGFD/CARTPT/CXCL8/C1QTNF12/CRIPTO3/SEMA3B/RETN/CCL14/CCL3/CSF1/TG/CCL23/PYY/NRG2/BMP3/AGT/OGN/PTN/CCL3L3/CXCL6/GREM2/IL1B/SST/FGF9/CCL22/EFNA5/CHGB/JAG2/EDN3/VEGFA/WNT9A/BTC/MACC1/LIFR/CMTM8/EREG/PDGFA/ECRG4/ULBP3/CXCL10/CXCL11/CLU/LIF/SHH/IL6ST/PGF/TTR/ULBP2/EPHA7/CXCL1/NCR3LG1/CTSG/GCG/OSGIN1/VIP/TNFSF11,91
GO:0046982,protein heterodimerization activity,75/1910,300/14503,0.25,1.89829842931937,6.12290126817398,1.7609240685263e-08,3.76133381037217e-06,3.76133381037217e-06,ARNT2/H2AC16/SLC51A/BCL2/SDCBP2/H2BC15/H2BC10/H2BC9/RAN/IRAK2/SLC51B/H4C11/QTRT2/VAPA/TENM1/CENPA/BDKRB2/H2BC17/H2BC26/TOP2A/H2BC13/H2AC25/NEUROD1/CREB3L3/MEF2C/ADRB1/UGT1A5/H2AC15/ATP1A2/H3C7/CENPW/H2BC14/H2AC19/H4C9/H2AC11/NPAS3/H3C8/UGT1A8/CAV1/ATF3/H4C12/KCNB1/UGT1A1/H4C14/H4C15/H3C11/SRI/JDP2/H2BC11/SIM2/H2AC17/H3C2/H2AX/H2BC8/UGT1A3/NFE2L1/H2AC12/P2RY1/H2AC8/H2AC18/PDGFA/H2BC6/PAFAH1B3/UGT1A4/TPM1/TENM2/CLU/H2AC13/AURKA/MAPK4/UGT1A10/BIRC5/EPAS1/H2BC7/H3C12,75
GO:0046873,metal ion transmembrane transporter activity,75/1910,316/14503,0.237341772151899,1.8021820531513,5.61483800394959,1.75473570878013e-07,3.12342956162863e-05,3.12342956162863e-05,SLC9A1/RYR1/CACNA1A/KCNA6/KCNN3/KCNT2/CHRNA7/ANO9/KCNN4/KCNIP3/HCN2/SCN4A/SLC30A4/SLC4A11/CHP1/GRIN1/SLC6A14/SLC38A4/TMEM37/P2RX4/SLC9A9/SLC11A2/SLC6A20/KCNH8/SLC39A4/ITPR1/PKD1/ATP1A2/SLC38A5/KCNN2/CACNA1C/SLC30A10/SCNN1G/CNNM4/RYR2/KCNA2/KCNQ4/RYR3/KCNB1/TRPC4/GRIK3/SLC9A3/SLC9A2/ATP2A3/TRPM6/TRPV3/SLC38A3/SLC28A3/SLC20A2/CNGA3/KCND3/SLC4A4/SLC6A6/KCNMA1/P2RX1/SLC6A4/GRIN2D/SLC5A6/SCN4B/SCN9A/KCNQ1/SLC28A2/SCNN1B/SLC39A10/ABCC8/SLC13A3/SCN7A/LETM1/CACNB1/SLC6A8/KCNA5/SLC8A1/CACNB2/KCNV2/SLC1A1,75
GO:0005125,cytokine activity,41/1910,143/14503,0.286713286713287,2.17706952733131,5.5088246375723,7.18697639102263e-07,0.000109652725508745,0.000109652725508745,WNT5B/BMP2/IL11/IL1RN/BMP7/CCL13/INHBA/BMP5/SCG2/IL1A/CCL20/CXCL12/CXCL5/GDF15/CXCL9/CNTFR/FGF2/CCL11/WNT3/SECTM1/CXCL8/CCL14/CCL3/CSF1/CCL23/BMP3/CCL3L3/CXCL6/GREM2/IL1B/CCL22/VEGFA/WNT9A/LIFR/CMTM8/CXCL10/CXCL11/LIF/IL6ST/CXCL1/TNFSF11,41
GO:0015267,channel activity,78/1910,348/14503,0.224137931034483,1.70192272973461,5.16166748077819,1.16302336741433e-06,0.000138012106266501,0.000138012106266501,CLCNKB/RYR1/CLCNKA/CLCA4/CACNA1A/KCNA6/BCL2/OTOP2/KCNN3/KCNT2/CHRNA7/ANO9/KCNN4/GJA5/KCNIP3/HCN2/SCN4A/GJB3/GLRB/SLC4A11/GRIN1/ANO2/ATP5F1A/TMEM37/PACC1/P2RX4/GSDMA/KCNH8/ITPR1/CHRFAM7A/PKD1/CLCN1/KCNN2/SLC7A11/CACNA1C/SCNN1G/AQP8/RYR2/GJB4/KCNA2/KCNQ4/RYR3/KCNB1/TRPC4/TTYH3/GRIK3/C6/TRPM6/TRPV3/CLCN2/GJB1/CNGA3/C8G/KCND3/CLIC6/CHRNA1/CLIC5/BCL2L2/KCNMA1/CLIC3/P2RX1/SLC6A4/GRIN2D/FXYD1/SCN4B/SCN9A/BEST4/KCNQ1/SCNN1B/ABCC8/SCN7A/CACNB1/KCNA5/CACNB2/GABRE/KCNV2/ANO5/SLC1A1,78
GO:0022803,passive transmembrane transporter activity,78/1910,348/14503,0.224137931034483,1.70192272973461,5.16166748077819,1.16302336741433e-06,0.000138012106266501,0.000138012106266501,CLCNKB/RYR1/CLCNKA/CLCA4/CACNA1A/KCNA6/BCL2/OTOP2/KCNN3/KCNT2/CHRNA7/ANO9/KCNN4/GJA5/KCNIP3/HCN2/SCN4A/GJB3/GLRB/SLC4A11/GRIN1/ANO2/ATP5F1A/TMEM37/PACC1/P2RX4/GSDMA/KCNH8/ITPR1/CHRFAM7A/PKD1/CLCN1/KCNN2/SLC7A11/CACNA1C/SCNN1G/AQP8/RYR2/GJB4/KCNA2/KCNQ4/RYR3/KCNB1/TRPC4/TTYH3/GRIK3/C6/TRPM6/TRPV3/CLCN2/GJB1/CNGA3/C8G/KCND3/CLIC6/CHRNA1/CLIC5/BCL2L2/KCNMA1/CLIC3/P2RX1/SLC6A4/GRIN2D/FXYD1/SCN4B/SCN9A/BEST4/KCNQ1/SCNN1B/ABCC8/SCN7A/CACNB1/KCNA5/CACNB2/GABRE/KCNV2/ANO5/SLC1A1,78
GO:0015081,sodium ion transmembrane transporter activity,35/1910,120/14503,0.291666666666667,2.2146815008726,5.20348530640349,2.97515493614559e-06,0.000299302044694536,0.000299302044694535,SLC9A1/HCN2/SCN4A/SLC4A11/CHP1/GRIN1/SLC6A14/SLC38A4/SLC9A9/SLC6A20/ATP1A2/SLC38A5/SCNN1G/CNNM4/GRIK3/SLC9A3/SLC9A2/TRPV3/SLC38A3/SLC28A3/SLC20A2/CNGA3/SLC4A4/SLC6A6/SLC6A4/SLC5A6/SCN4B/SCN9A/SLC28A2/SCNN1B/SLC13A3/SCN7A/SLC6A8/SLC8A1/SLC1A1,35
