category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,50/1021,153/6964,0.326797385620915,2.22900782905392,6.37093432576837,1.06981110240118e-08,3.28594168717251e-06,3.28594168717251e-06,27085/4176/9212/8556/151648/6502/157570/5591/9133/4085/701/990/1875/1019/699/1017/991/9700/9319/5933/1030/8317/1111/4173/10926/545/23594/1869/983/1026/891/5925/113130/7272/4171/25/994/4998/81620/90381/8318/26271/5347/57082/5111/1871/5516/4609/9088/890,50
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,58/1021,192/6964,0.302083333333333,2.06043911198172,6.17569842997949,1.87768096409858e-08,3.28594168717251e-06,3.28594168717251e-06,6261/773/3706/4638/1139/2263/1909/4485/115/5333/624/2902/818/5025/2260/2247/817/291/816/6865/815/153/3708/89832/2277/4233/775/4842/845/6262/2774/6869/5332/6263/9630/5350/4916/489/5567/2254/7422/2767/113026/84812/1816/5979/5154/100130933/801/4915/5023/2906/6786/5579/2776/3707/6546/51196,58
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,32/1021,81/6964,0.395061728395062,2.69462279778963,6.3582100743884,3.37383151202083e-08,3.9361367640243e-06,3.9361367640243e-06,6261/2775/54331/115/2902/818/2788/2353/817/117/816/815/3708/111/775/4842/6262/5332/6263/5592/5567/51655/801/2906/2786/2770/5593/5579/2776/8863/112/5187,32
Human Diseases,Substance dependence,hsa05034,Alcoholism,50/1021,164/6964,0.304878048780488,2.07950120637347,5.79827491986326,1.32518557939834e-07,1.15953738197355e-05,1.15953738197355e-05,8332/8341/4129/8346/8345/2775/8363/54331/2902/8348/128312/2788/8340/92815/84699/8331/9734/399694/8330/8968/111/8342/723790/8294/8969/4128/8355/8362/8370/554313/8354/5567/8970/8336/8358/3014/8339/85235/3012/8337/8344/801/4915/2354/2906/2786/2770/8329/8343/8356,50
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,40/1021,121/6964,0.330578512396694,2.25479800228264,5.77100482303628,2.26439655899718e-07,1.58507759129802e-05,1.58507759129802e-05,8332/8341/8346/8345/8363/8348/128312/8340/717/92815/941/8331/8330/8968/8342/723790/8294/8969/8355/8362/8370/554313/729/8354/8970/8336/8358/3014/8339/733/2214/85235/3012/8337/6628/8344/8329/1511/8343/8356,40
Organismal Systems,Digestive system,hsa04976,Bile secretion,26/1021,64/6964,0.40625,2.77093535749265,5.89897226180058,3.4160307033799e-07,1.99268457697161e-05,1.99268457697161e-05,6548/200931/8647/123264/115/9971/7366/760/54579/477/111/3781/343/54576/54658/6550/6256/5567/8431/54659/8671/1244/7367/54657/54575/112,26
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,36/1021,111/6964,0.324324324324324,2.21213966169892,5.33558433407183,1.52545531888937e-06,7.62727659444687e-05,7.62727659444687e-05,43/1139/2775/1132/54331/3352/2743/115/2902/2788/5025/6865/153/89832/111/2774/9934/6869/63910/5332/2899/5567/2767/5028/2918/1816/5023/6532/2906/2786/2770/5579/2776/112/2564/6505,36
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,26/1021,69/6964,0.376811594202899,2.57014294028304,5.43256341333916,1.90562147353739e-06,8.3370939467261e-05,8.3370939467261e-05,3782/3651/3783/115/818/84699/817/117/816/6844/815/477/111/3781/775/6262/5332/5567/2767/3778/6833/5579/2776/112/5864/2641,26
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,38/1021,126/6964,0.301587301587302,2.0570557965269,4.9628007582493,5.68974478022389e-06,0.000221267852564262,0.000221267852564262,54554/5906/81029/115/6932/818/5087/1019/84699/817/816/1017/7473/815/1030/3708/111/775/83439/1869/5332/1026/5151/183/1589/5925/5567/51655/2767/7483/324/51176/8313/2770/2776/1871/11211/112,38
Organismal Systems,Digestive system,hsa04978,Mineral absorption,19/1021,47/6964,0.404255319148936,2.75733011023819,5.01015999578086,1.42496057916164e-05,0.000498736202706573,0.000498736202706573,4494/4499/79901/4501/4496/4891/55630/4493/477/1811/6550/140803/4502/1181/7018/4495/340024/341208/6546,19
