ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-2299718,Condensation of Prophase Chromosomes,33/1293,71/9301,0.464788732394366,3.34338747099768,7.96436457446819,3.20758820026624e-11,4.7793064183967e-08,4.7793064183967e-08,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/CDK1/H4C12/H4C14/H4C15/CCNB1/RB1/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/PLK1/NCAPG2/SMC4/SMC2/H2BC7/H3C12,33
R-HSA-9616222,Transcriptional regulation of granulopoiesis,35/1293,85/9301,0.411764705882353,2.96196715345071,7.30144245258233,5.18437899538027e-10,3.8623623515583e-07,3.8623623515583e-07,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/CDK4/H2AC14/CDK2/MYB/H3C7/H2BC14/H2AC19/H4C9/H3C8/IL6R/E2F1/H4C12/CDKN1A/H4C14/H4C15/RXRA/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/LEF1/MYC/H2BC7/H3C12,35
R-HSA-397014,Muscle contraction,50/1293,151/9301,0.33112582781457,2.38190357656869,6.87914354672483,1.16317704761983e-09,5.77711266984516e-07,5.77711266984516e-07,RYR1/LMOD1/TMOD1/MYLK/KCNIP3/SCN4A/CAMK2G/DMPK/KAT2B/CAMK2D/CAMK2B/TLN1/TNNT2/CORIN/CAMK2A/ITPR1/TNNI2/ATP1A2/CACNA1C/NOS1/CASQ2/RYR2/DMD/PDE5A/MYH11/MYH3/RYR3/TNNT3/PLN/ATP2A3/SRI/ACTG2/KCND3/TNNI3/CALM1/FXYD1/DES/SCN4B/SCN9A/STIM1/KCNQ1/VCL/TPM1/SCN7A/CACNB1/ACTA1/KCNA5/SORBS1/SLC8A1/CACNB2,50
R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,30/1293,71/9301,0.422535211267606,3.03944315545244,6.93136283263122,4.3004943501059e-09,1.0333457888842e-06,1.0333457888842e-06,CENPH/CENPN/H2BC15/H2BC10/H2BC9/H4C11/CENPI/CENPA/H2BC17/H2BC26/H2BC13/H2AC14/CENPW/H2BC14/H2AC19/H4C9/H4C12/H4C14/HJURP/H4C15/H2BC11/H2AX/H2BC8/NPM1/CENPK/H2AC8/H2AC18/H2BC6/KNL1/H2BC7,30
R-HSA-774815,Nucleosome assembly,30/1293,71/9301,0.422535211267606,3.03944315545244,6.93136283263122,4.3004943501059e-09,1.0333457888842e-06,1.0333457888842e-06,CENPH/CENPN/H2BC15/H2BC10/H2BC9/H4C11/CENPI/CENPA/H2BC17/H2BC26/H2BC13/H2AC14/CENPW/H2BC14/H2AC19/H4C9/H4C12/H4C14/HJURP/H4C15/H2BC11/H2AX/H2BC8/NPM1/CENPK/H2AC8/H2AC18/H2BC6/KNL1/H2BC7,30
R-HSA-912446,Meiotic recombination,33/1293,83/9301,0.397590361445783,2.86000614988958,6.83933346212911,4.70467393760843e-09,1.0333457888842e-06,1.0333457888842e-06,H2BC15/BLM/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/CDK4/H2AC14/CDK2/H3C7/MND1/H2BC14/H2AC19/H4C9/H3C8/BRCA2/H4C12/H4C14/H4C15/FIRRM/H3C11/H2BC11/FIGNL1/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,33
R-HSA-9940465,ChAHP complex assembly,27/1293,60/9301,0.45,3.23700696055684,6.98493195930002,4.85464464576468e-09,1.0333457888842e-06,1.0333457888842e-06,H2BC15/H2BC10/H2BC9/H4C11/CBX3/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,27
R-HSA-5250924,B-WICH complex positively regulates rRNA expression,34/1293,88/9301,0.386363636363636,2.7792484004781,6.73838916018006,6.60523927166808e-09,1.07288873919951e-06,1.07288873919951e-06,KAT2A/H2BC15/H2BC10/H2BC9/H4C11/DDX21/TAF1D/H2BC17/H2BC26/H2BC13/KAT2B/H2AC14/POLR1C/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/POLR1B/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/MYO1C/POLR1D/H2BC7/H3C12,34
R-HSA-1500620,Meiosis,39/1293,109/9301,0.357798165137615,2.57376700227761,6.64090672940431,6.79456369752108e-09,1.07288873919951e-06,1.07288873919951e-06,H2BC15/BLM/SYCP2/H2BC10/H2BC9/SYNE1/H4C11/H2BC17/H2BC26/H2BC13/CDK4/H2AC14/CDK2/H3C7/MND1/H2BC14/H2AC19/H4C9/SUN2/ATR/H3C8/BRCA2/H4C12/H4C14/H4C15/HSPA2/FIRRM/H3C11/H2BC11/FIGNL1/H3C2/H2AX/H2BC8/LMNB1/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,39
R-HSA-5334118,DNA methylation,27/1293,61/9301,0.442622950819672,3.18394127267886,6.87620145895126,7.56808842792164e-09,1.07288873919951e-06,1.07288873919951e-06,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/UHRF1/H2BC7/H3C12,27
R-HSA-9764560,Regulation of CDH1 Gene Transcription,37/1293,101/9301,0.366336633663366,2.63518718461173,6.63915720953978,7.92065512160715e-09,1.07288873919951e-06,1.07288873919951e-06,ZEB2/FOXP2/H2BC15/H2BC10/H2BC9/ZEB1/H4C11/TGIF2/KLF9/KLF4/H2BC17/H2BC26/H2BC13/H2AC14/TWIST2/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/RB1/H3C11/FOXA2/H2BC11/EZH2/H3C2/H2AX/H2BC8/FOXQ1/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,37
R-HSA-69620,Cell Cycle Checkpoints,76/1293,289/9301,0.262975778546713,1.89167650136348,6.18763027936942,1.14546686695088e-08,1.2398161263697e-06,1.2398161263697e-06,CENPH/CENPN/H2BC15/MCM7/BLM/AURKB/H2BC10/H2BC9/SGO1/H4C11/CENPI/CCNB2/CLSPN/CENPA/MAD2L1/H2BC17/BUB1B/H2BC26/CDC6/H2BC13/KIF18A/BUB1/CDK2/CDC20/MCM10/EXO1/CDC7/CHEK1/DYNC1I1/CDCA8/H2BC14/KIF2C/MCM4/RFC4/H4C9/CENPF/DBF4/UBE2C/ATR/UBE2S/ORC6/CDK1/H4C12/CDKN1A/RFC3/BRIP1/H4C14/H4C15/CENPE/CCNB1/KNTC1/H2BC11/MCM2/SGO2/ERCC6L/H2AX/SPC24/H2BC8/ORC1/CENPK/SPDL1/CDC45/H2BC6/PLK1/PSMA7/KNL1/ZWINT/NUF2/SKA1/SPC25/PPP2CB/GTSE1/PKMYT1/BIRC5/CCNA2/H2BC7,76
R-HSA-9909649,Regulation of PD-L1(CD274) transcription,36/1293,98/9301,0.36734693877551,2.64245466167906,6.56780759313296,1.15838128987341e-08,1.2398161263697e-06,1.2398161263697e-06,H2BC15/H2BC10/H2BC9/H4C11/TCF7/H2BC17/H2BC26/H2BC13/FOS/H2AC14/H3C7/TCF7L1/H2BC14/H2AC19/H4C9/H3C8/ATF3/H4C12/H4C14/H4C15/H3C11/H2BC11/EZH2/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/FOSB/LEF1/MYC/JUND/EPAS1/H2BC7/H3C12,36
R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,27/1293,62/9301,0.435483870967742,3.13258738118404,6.76969185490905,1.16492790397153e-08,1.2398161263697e-06,1.2398161263697e-06,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/AR/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,27
R-HSA-68616,Assembly of the ORC complex at the origin of replication,28/1293,66/9301,0.424242424242424,3.05172373385831,6.72126633021044,1.26713093010192e-08,1.25868339056791e-06,1.25868339056791e-06,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/ORC6/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/ORC1/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,28
R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),38/1293,108/9301,0.351851851851852,2.53099309673169,6.4303584793555,1.79812101848192e-08,1.67450019846129e-06,1.67450019846129e-06,H2BC15/H2BC10/H2BC9/H4C11/IL1A/H2BC17/H2BC26/H2BC13/FOS/CDK4/H2AC14/MAPK7/CDK2/CDKN2B/VENTX/H3C7/CXCL8/H2BC14/H2AC19/H4C9/UBE2C/UBE2S/H3C8/H4C12/CDKN1A/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/CCNA2/H2BC7/H3C12,38
R-HSA-73728,RNA Polymerase I Promoter Opening,26/1293,60/9301,0.433333333333333,3.11711781386955,6.61058465192249,2.46454370616385e-08,2.16010007187302e-06,2.16010007187302e-06,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,26
R-HSA-427359,SIRT1 negatively regulates rRNA expression,27/1293,65/9301,0.415384615384615,2.98800642512939,6.46265845288284,3.95806622283315e-08,3.10395719580073e-06,3.10395719580073e-06,H2BC15/H2BC10/H2BC9/H4C11/TAF1D/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,27
R-HSA-9970672,FXIIa activates plasma kallikrein-kinin system,27/1293,65/9301,0.415384615384615,2.98800642512939,6.46265845288284,3.95806622283315e-08,3.10395719580073e-06,3.10395719580073e-06,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/A2M/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,27
R-HSA-9821002,Chromatin modifications during the maternal to zygotic transition (MZT),27/1293,66/9301,0.409090909090909,2.94273360050622,6.36422424821097,5.82102142549329e-08,4.19802249640835e-06,4.19802249640835e-06,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/UHRF1/H2BC7/H3C12,27
R-HSA-9710421,Defective pyroptosis,28/1293,70/9301,0.4,2.87733952049497,6.33499347252059,5.91667600164935e-08,4.19802249640835e-06,4.19802249640835e-06,H2BC15/H2BC10/H2BC9/POLA1/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/EZH2/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,28
R-HSA-69306,DNA Replication,52/1293,181/9301,0.287292817679558,2.06659744565937,5.8226557197147,1.2046863156855e-07,7.82016645676877e-06,7.82016645676877e-06,RPA4/H2BC15/MCM7/H2BC10/H2BC9/GINS2/POLA1/SKP2/H4C11/H2BC17/H2BC26/CDC6/H2BC13/H2AC14/CDK2/MCM10/CDC7/LIG1/H3C7/H2BC14/H2AC19/MCM4/RFC4/H4C9/DBF4/UBE2C/UBE2S/H3C8/ORC6/H4C12/RFC3/H4C14/H4C15/H3C11/H2BC11/MCM2/H3C2/H2AX/H2BC8/ORC1/H2AC8/H2AC18/CDT1/CDC45/H2BC6/PSMA7/PCNA/GINS3/GINS1/CCNA2/H2BC7/H3C12,52
