ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030016,myofibril,54/1093,194/14909,0.278350515463918,3.79682327086143,11.0284471667468,2.99618170228321e-18,1.39163773770512e-15,1.39163773770512e-15,RYR1/FBXO32/LMOD1/SLMAP/MYOM2/LDB3/ASB2/MYZAP/KCNA5/DES/RYR3/CMYA5/JPH2/SYNM/TNNT3/DMD/NOS1/PALLD/SYNPO2/AHNAK/TMOD1/CASQ2/MYH1/TPM1/SYNPO/MYOT/OBSCN/CACNA1C/PGM5/SORBS2/MYH2/DST/FLNC/SRI/SMPX/SYNE1/KCNN2/CALM1/MYOM1/KAT2B/RYR2/SVIL/ARHGEF25/ANK2/KY/CSRP1/ACTA1/PDLIM2/VCL/NRAP/MYH3/KCNN3/SLC8A1/CRYAB,54
GO:0043292,contractile muscle fiber,55/1093,203/14909,0.270935960591133,3.69568548623349,10.8767355435521,5.56655095082047e-18,1.39163773770512e-15,1.39163773770512e-15,RYR1/FBXO32/LMOD1/SLMAP/MYOM2/LDB3/ASB2/MYZAP/KCNA5/DES/RYR3/CMYA5/JPH2/SYNM/TNNT3/DMD/NOS1/PALLD/SYNPO2/AHNAK/TMOD1/CASQ2/MYH1/TPM1/SYNPO/MYOT/OBSCN/CACNA1C/PGM5/SORBS2/MYH2/DST/FLNC/SRI/MYH11/SMPX/SYNE1/KCNN2/CALM1/MYOM1/KAT2B/RYR2/SVIL/ARHGEF25/ANK2/KY/CSRP1/ACTA1/PDLIM2/VCL/NRAP/MYH3/KCNN3/SLC8A1/CRYAB,55
GO:0030017,sarcomere,50/1093,175/14909,0.285714285714286,3.89726833093713,10.8436632383402,1.63738306284616e-17,2.72897177141026e-15,2.72897177141026e-15,RYR1/FBXO32/LMOD1/SLMAP/MYOM2/LDB3/ASB2/MYZAP/KCNA5/DES/RYR3/CMYA5/JPH2/TNNT3/DMD/NOS1/PALLD/SYNPO2/TMOD1/CASQ2/MYH1/TPM1/SYNPO/MYOT/OBSCN/CACNA1C/PGM5/SORBS2/MYH2/DST/FLNC/SRI/SMPX/SYNE1/KCNN2/CALM1/MYOM1/KAT2B/RYR2/ARHGEF25/ANK2/KY/CSRP1/ACTA1/PDLIM2/NRAP/MYH3/KCNN3/SLC8A1/CRYAB,50
GO:0042383,sarcolemma,36/1093,116/14909,0.310344827586207,4.23323973877654,9.8325776466736,3.36338680829263e-14,4.20423351036579e-12,4.20423351036579e-12,SLC9A1/RYR1/SLMAP/SNTG2/ABCC8/STBD1/STAC/DES/RYR3/SYNM/DMD/KCND3/DTNA/NOS1/SGCA/AHNAK/SLC2A4/KCNB1/ATP1A2/MYOT/OBSCN/CACNA1C/PGM5/CAV1/FLNC/SRI/CACNB1/FXYD1/CAMK2D/CACNB2/RYR2/BSG/ANK2/VCL/PDE9A/SLC8A1,36
GO:0030018,Z disc,34/1093,110/14909,0.309090909090909,4.21613573983199,9.52232803600555,1.98176471071149e-13,1.98176471071149e-11,1.98176471071149e-11,RYR1/FBXO32/SLMAP/LDB3/ASB2/MYZAP/KCNA5/DES/RYR3/JPH2/DMD/NOS1/PALLD/SYNPO2/CASQ2/SYNPO/MYOT/OBSCN/CACNA1C/PGM5/SORBS2/DST/FLNC/SRI/KCNN2/RYR2/ANK2/KY/CSRP1/PDLIM2/NRAP/KCNN3/SLC8A1/CRYAB,34
GO:0031674,I band,35/1093,120/14909,0.291666666666667,3.97846142116499,9.21386423117846,5.96032179601604e-13,4.96693483001337e-11,4.96693483001337e-11,RYR1/FBXO32/SLMAP/LDB3/ASB2/MYZAP/KCNA5/DES/RYR3/JPH2/DMD/NOS1/PALLD/SYNPO2/CASQ2/SYNPO/MYOT/OBSCN/CACNA1C/PGM5/SORBS2/DST/FLNC/SRI/KCNN2/KAT2B/RYR2/ANK2/KY/CSRP1/PDLIM2/NRAP/KCNN3/SLC8A1/CRYAB,35
GO:0016528,sarcoplasm,25/1093,76/14909,0.328947368421053,4.48698656522367,8.57178328725887,6.77498351524322e-11,4.83927393945944e-09,4.83927393945944e-09,RYR1/ITPR1/RYR3/CMYA5/MB/JPH2/JPH4/NOS1/SLC2A4/CASQ2/ATP2A3/P3H2/GSN/FLNC/SRI/RASD1/STIM1/SYNE1/MEF2C/CAMK2D/CAMK2B/RYR2/DMPK/CAMK2G/PLN,25
GO:0016324,apical plasma membrane,61/1093,348/14909,0.175287356321839,2.39099651912379,7.38496897223891,1.27801649526766e-10,7.9876030954229e-09,7.9876030954229e-09,GNA13/SLC9A1/CLCA4/SCNN1G/SLC6A8/PAPPA2/KCNA5/CDHR2/TEK/PLPP1/CA4/SLC36A1/CEACAM7/KIAA1614/DRD5/CLIC5/SLC20A2/NAALADL1/KCNB1/MAL/ABCB5/CYP4F12/TRPM6/CA12/ITLN1/CAV1/SORBS2/SLC26A2/SLC28A2/SCNN1B/P2RY1/SLC26A3/FXYD1/PRKG2/ECRG4/KCNMA1/LIMA1/CDHR5/SLC1A1/ATP8B1/AQP8/SLC9A2/MPDZ/CNTFR/MTCL1/SHROOM3/CYBRD1/SLC6A19/PDE4D/PTPRH/CEACAM1/TF/ANK2/OCEL1/AMN/GPIHBP1/RAB27A/SLC22A5/IL6R/SLC9A3/ABCB11,61
GO:0097060,synaptic membrane,57/1093,324/14909,0.175925925925926,2.39970688895666,7.1644853537398,4.52824673001438e-10,2.51569262778576e-08,2.51569262778576e-08,CNKSR2/NLGN1/NTRK3/TACR1/SNAP91/SHC4/ABCC8/NPTN/LRFN5/NLGN4X/APBA1/CNR1/LRRC4B/RGS9/CLTB/ADGRL3/PRRT2/DMD/KCND3/SYP/PDE2A/CLCN2/KCNA2/MUSK/KCNB1/CHRNA1/GPER1/SLC16A7/CNTN2/CHRNA7/GRIK3/RIMS1/CACNA1C/SLITRK5/NRXN1/GNAO1/P2RY1/LRRC7/SYNE1/KCNMA1/CHRM4/PCDH9/P2RX1/CHRFAM7A/VAMP2/ADGRB3/TENM2/NRXN3/GRIN1/GLRB/ANK2/LPAR1/DLG2/EPHA7/IGSF9/CNTN1/CRYAB,57
GO:0044297,cell body,70/1093,443/14909,0.158013544018059,2.15537413336252,6.94350709727316,6.51325194980237e-10,3.25662597490119e-08,3.25662597490119e-08,STMN2/CNKSR2/MPL/TACR1/GFRA1/ELAVL4/ROGDI/GNAZ/TMEM100/KCND3/EPM2A/CTNND2/CPNE5/IL6ST/HMCN2/CLCN2/SST/KCNA2/CARTPT/RIC3/KCNB1/ATP1A2/NEFM/GAP43/CNTN2/SYNPO/GRIK3/MYOT/CNGA3/CACNA1C/NRXN1/SORBS2/LRRK2/GNAO1/SPTBN4/P2RY1/MAP2/PRPH/DAB2IP/HCN2/TRAK2/KCNN2/CAPN2/PRKN/ACTG2/RDH5/SLC1A1/UNC5C/ABL1/FLRT1/NEURL1/P2RX4/PRKAR2B/PINK1/SYN1/TTLL7/LPAR1/DLG2/EPHA7/ACTA1/MAST1/CACNA1A/BRINP3/NEGR1/PDE9A/KCNN3/SLC8A1/KIF5C/MAPT/CRYAB,70
