ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015267,channel activity,60/1057,348/14503,0.172413793103448,2.36567383290379,7.2299711425287,2.79425278651454e-10,1.14573149806035e-07,1.14573149806035e-07,CLCNKB/RYR1/TRPC4/CLCNKA/CLCA4/BCL2/SCNN1G/ITPR1/CLIC6/TRPV3/ABCC8/KCNA5/SCN4B/RYR3/BCL2L2/SCN4A/KCND3/CLCN2/SCN7A/CLIC5/PKD1/KCNA2/KCNB1/CHRNA1/C6/KCNT2/CHRNA7/GRIK3/TRPM6/CNGA3/CACNA1C/SCNN1B/CACNB1/ANO5/FXYD1/HCN2/KCNMA1/KCNN2/ATP5F1A/CACNB2/SLC1A1/BEST4/AQP8/RYR2/P2RX1/CHRFAM7A/GJA5/P2RX4/SCN9A/C8G/ANO2/GRIN1/GLRB/KCNIP3/CACNA1A/KCNQ4/KCNN3/OTOP2/TMEM37/KCNA6,60
GO:0022803,passive transmembrane transporter activity,60/1057,348/14503,0.172413793103448,2.36567383290379,7.2299711425287,2.79425278651454e-10,1.14573149806035e-07,1.14573149806035e-07,CLCNKB/RYR1/TRPC4/CLCNKA/CLCA4/BCL2/SCNN1G/ITPR1/CLIC6/TRPV3/ABCC8/KCNA5/SCN4B/RYR3/BCL2L2/SCN4A/KCND3/CLCN2/SCN7A/CLIC5/PKD1/KCNA2/KCNB1/CHRNA1/C6/KCNT2/CHRNA7/GRIK3/TRPM6/CNGA3/CACNA1C/SCNN1B/CACNB1/ANO5/FXYD1/HCN2/KCNMA1/KCNN2/ATP5F1A/CACNB2/SLC1A1/BEST4/AQP8/RYR2/P2RX1/CHRFAM7A/GJA5/P2RX4/SCN9A/C8G/ANO2/GRIN1/GLRB/KCNIP3/CACNA1A/KCNQ4/KCNN3/OTOP2/TMEM37/KCNA6,60
GO:0046873,metal ion transmembrane transporter activity,56/1057,316/14503,0.177215189873418,2.43155335736441,7.21374335676052,3.8404407756213e-10,1.14573149806035e-07,1.14573149806035e-07,SLC9A1/RYR1/TRPC4/SCNN1G/ITPR1/SLC6A8/TRPV3/ABCC8/KCNA5/SCN4B/RYR3/SCN4A/KCND3/LETM1/SCN7A/SLC20A2/PKD1/KCNA2/KCNB1/ATP1A2/KCNT2/ATP2A3/CHRNA7/GRIK3/SLC9A9/TRPM6/CNGA3/CACNA1C/SLC4A4/SLC28A2/SCNN1B/CACNB1/SLC30A4/HCN2/KCNMA1/KCNN2/CNNM4/CACNB2/SLC1A1/SLC9A2/RYR2/P2RX1/P2RX4/SCN9A/GRIN1/SLC30A10/CHP1/SLC38A4/KCNIP3/CACNA1A/KCNQ4/KCNN3/SLC9A3/SLC8A1/TMEM37/KCNA6,56
GO:0005216,monoatomic ion channel activity,54/1057,306/14503,0.176470588235294,2.42133674661918,7.04554019495886,9.30364649161064e-10,2.08169090249788e-07,2.08169090249788e-07,CLCNKB/RYR1/TRPC4/CLCNKA/CLCA4/SCNN1G/ITPR1/CLIC6/TRPV3/ABCC8/KCNA5/SCN4B/RYR3/SCN4A/KCND3/CLCN2/SCN7A/CLIC5/PKD1/KCNA2/KCNB1/CHRNA1/KCNT2/CHRNA7/GRIK3/TRPM6/CNGA3/CACNA1C/SCNN1B/CACNB1/ANO5/FXYD1/HCN2/KCNMA1/KCNN2/ATP5F1A/CACNB2/SLC1A1/BEST4/RYR2/P2RX1/CHRFAM7A/P2RX4/SCN9A/ANO2/GRIN1/GLRB/KCNIP3/CACNA1A/KCNQ4/KCNN3/OTOP2/TMEM37/KCNA6,54
GO:0022836,gated channel activity,40/1057,204/14503,0.196078431372549,2.6903741629102,6.81710506211743,6.76458597525667e-09,1.21086088957094e-06,1.21086088957094e-06,CLCNKB/RYR1/CLCNKA/CLCA4/SCNN1G/ITPR1/ABCC8/KCNA5/RYR3/KCND3/CLCN2/SCN7A/KCNA2/KCNB1/CHRNA1/KCNT2/CHRNA7/GRIK3/CNGA3/CACNA1C/SCNN1B/CACNB1/ANO5/HCN2/KCNMA1/KCNN2/CACNB2/BEST4/RYR2/P2RX1/CHRFAM7A/P2RX4/ANO2/GRIN1/GLRB/CACNA1A/KCNQ4/KCNN3/TMEM37/KCNA6,40
GO:0141108,transporter regulator activity,33/1057,157/14503,0.210191082802548,2.88401255807507,6.65461748590045,2.43312515130684e-08,3.41053380071059e-06,3.41053380071059e-06,BCL2/ITPR1/PRKCB/GPD1L/STAC/SCN4B/GPLD1/NOS1/CLCN2/FHL1/PRKACB/SGK1/KCNB1/ATP2A3/CHRNA7/PRKG1/SGK2/CAV1/NRXN1/SRI/CACNB1/STIM1/FXYD1/CALM1/CAMK2D/PDE4D/DPP6/ANK2/WNK3/CHP1/LYNX1/KCNIP3/PLN,33
GO:0003779,actin binding,60/1057,391/14503,0.153452685421995,2.10551021445146,6.21314866093496,2.66745660390772e-08,3.41053380071059e-06,3.41053380071059e-06,LMOD1/SNTG2/LDB3/SCIN/CNN1/RCSD1/MYO1C/TLN1/CLMN/HOMER2/EHBP1L1/TLN2/VILL/TNNT3/DMD/PALLD/SYNPO2/TMOD1/SPTB/MYH1/ABLIM3/MICALL1/TPM1/SMTN/SYNPO/MYOT/PLEKHH2/KLHL5/GIPC1/GSN/LRRK2/MYH2/DST/FLNC/SPTBN4/MYH11/MYLK/SYNE1/KCNMA1/DAAM2/PRKN/LIMA1/CACNB2/CAMK2B/ABL1/EPB41L3/SVIL/SHROOM3/CEACAM1/FAM107A/FLII/SYN1/PDLIM2/VCL/NRAP/MYH3/PKNOX2/SORBS1/CORO6/MAPT,60
GO:0005261,monoatomic cation channel activity,42/1057,232/14503,0.181034482758621,2.48395752454898,6.38841543396712,3.25651533030793e-08,3.64322652578199e-06,3.64322652578199e-06,RYR1/TRPC4/SCNN1G/ITPR1/TRPV3/ABCC8/KCNA5/SCN4B/RYR3/SCN4A/KCND3/SCN7A/PKD1/KCNA2/KCNB1/CHRNA1/KCNT2/CHRNA7/GRIK3/TRPM6/CNGA3/CACNA1C/SCNN1B/CACNB1/HCN2/KCNMA1/KCNN2/ATP5F1A/CACNB2/RYR2/P2RX1/CHRFAM7A/P2RX4/SCN9A/GRIN1/KCNIP3/CACNA1A/KCNQ4/KCNN3/OTOP2/TMEM37/KCNA6,42
GO:0016247,channel regulator activity,31/1057,146/14503,0.212328767123288,2.91334352846645,6.51466997941033,5.03013824057401e-08,5.00219302812637e-06,5.00219302812637e-06,BCL2/ITPR1/PRKCB/GPD1L/STAC/SCN4B/GPLD1/NOS1/CLCN2/FHL1/PRKACB/SGK1/KCNB1/ATP2A3/CHRNA7/PRKG1/SGK2/CAV1/NRXN1/SRI/CACNB1/STIM1/FXYD1/CALM1/CAMK2D/PDE4D/DPP6/ANK2/CHP1/LYNX1/KCNIP3,31
GO:0099106,ion channel regulator activity,30/1057,141/14503,0.212765957446809,2.9193421767749,6.42109939463038,7.85261097299871e-08,6.78439678513849e-06,6.78439678513849e-06,ITPR1/PRKCB/GPD1L/STAC/SCN4B/GPLD1/NOS1/CLCN2/FHL1/PRKACB/SGK1/KCNB1/ATP2A3/CHRNA7/PRKG1/SGK2/CAV1/NRXN1/SRI/CACNB1/STIM1/FXYD1/CALM1/CAMK2D/PDE4D/DPP6/ANK2/CHP1/LYNX1/KCNIP3,30
