category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,52/573,192/6964,0.270833333333333,3.29159394997091,9.6409738841855,2.80418755029135e-15,9.16969328945272e-13,9.16969328945272e-13,6261/4916/3708/6869/2277/5579/2263/6263/5154/291/6865/153/113026/4842/2774/1816/5567/845/815/84812/489/1139/3707/775/4638/2254/9630/6786/100130933/801/2247/817/51196/816/6262/5023/4915/89832/5333/5025/5979/2767/2902/2776/818/624/115/3706/2260/773/6546/5350,52
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,29/573,81/6964,0.358024691358025,4.35128089112964,9.08354881997129,2.41723026888201e-12,3.95217148962209e-10,3.95217148962209e-10,6261/3708/8863/5579/6263/117/4842/5567/815/5592/775/54331/2775/51655/111/2788/5593/801/112/817/5187/2770/816/6262/2353/2902/2776/818/115,29
Organismal Systems,Digestive system,hsa04976,Bile secretion,24/573,64/6964,0.375,4.55759162303665,8.56076617809736,6.30080183088914e-11,6.86787399566917e-09,6.86787399566917e-09,6548/123264/6256/54575/54579/54658/54576/5567/54659/477/200931/9971/8671/111/760/3781/112/343/7366/115/7367/6550/54657/8647,24
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,23/573,69/6964,0.333333333333333,4.05119255381036,7.62637446257522,2.37978238031589e-09,1.94547209590824e-07,1.94547209590824e-07,5579/6833/117/5567/815/477/775/111/3778/3781/5864/112/817/816/6262/84699/6844/2767/2776/818/115/2641/3782,23
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,26/573,93/6964,0.279569892473118,3.39777439996998,6.96997016191656,1.46352271593146e-08,9.57143856219176e-07,9.57143856219176e-07,43/596/3708/5579/5567/815/1139/775/54331/2775/111/2788/1132/112/817/2770/816/84699/89832/2353/2767/2776/818/115/773/9132,26
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,16/573,40/6964,0.4,4.86143106457243,7.33315478430108,3.4890827270177e-08,1.5643900520413e-06,1.5643900520413e-06,81285/2774/5138/5567/815/5592/1261/2788/5593/801/817/816/57101/818/408/6546,16
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,28/573,110/6964,0.254545454545455,3.09363795018245,6.62700005569837,3.87130070521878e-08,1.5643900520413e-06,1.5643900520413e-06,5602/3708/5579/5516/2774/1816/5567/5523/815/5521/775/54331/2775/111/2788/4128/801/817/2770/816/84699/2353/2776/818/408/773/4129/3800,28
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,37/573,173/6964,0.213872832369942,2.59932007787832,6.37797298737703,4.05035167076154e-08,1.5643900520413e-06,1.5643900520413e-06,6548/5602/4886/153/117/5139/51/1816/6750/5567/1908/815/477/489/1261/775/5906/111/5348/610/801/112/7432/817/2770/51196/816/6262/84699/2353/5144/2902/6752/818/115/2641/5350,37
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,19/573,56/6964,0.339285714285714,4.12353527798554,7.02676394449312,4.30614403643403e-08,1.5643900520413e-06,1.5643900520413e-06,6548/3708/5579/6750/5567/815/477/4638/111/760/801/112/817/2770/816/2776/6752/818/115,19
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,28/573,111/6964,0.252252252252252,3.06576733801865,6.56891481117849,4.78406743743518e-08,1.5643900520413e-06,1.5643900520413e-06,43/6869/5579/6865/153/2774/1816/5567/1139/2899/54331/2775/5028/111/2788/9934/1132/112/6505/2770/5023/89832/5025/2767/2902/2776/115/2743,28
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,29/573,121/6964,0.239669421487603,2.91284092711984,6.35534849908555,9.28167125618709e-08,2.75918772797562e-06,2.75918772797562e-06,6548/596/6330/5516/153/6332/5567/5523/815/477/7168/489/5521/775/111/782/801/112/817/783/2770/816/6262/84699/2776/818/115/6546/5350,29
Organismal Systems,Digestive system,hsa04978,Mineral absorption,16/573,47/6964,0.340425531914894,4.13738814006164,6.46173869110377,4.83232106548589e-07,1.3168074903449e-05,1.3168074903449e-05,4502/1181/4493/477/140803/4495/4499/1811/4496/4501/79901/340024/4494/7018/6550/6546,16
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,16/573,48/6964,0.333333333333333,4.05119255381036,6.35117152810827,6.70478560450256e-07,1.6865114559018e-05,1.6865114559018e-05,316/124/10170/54575/54579/54658/54576/54659/56603/126/125/5959/7366/54884/7367/54657,16
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,34/573,171/6964,0.198830409356725,2.41650082157109,5.61532863736205,8.95981184063081e-07,2.09275605134734e-05,2.09275605134734e-05,6869/2908/4886/1268/6865/153/117/9340/1816/6750/1908/1134/1139/2899/5734/5028/7068/9934/1132/7432/5697/5023/89832/5025/2902/6752/624/2743/1511/7433/1902/2641/66004/5729,34
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,37/573,196/6964,0.188775510204082,2.29429782384158,5.50329991629555,1.12350535338899e-06,2.44924167038799e-05,2.44924167038799e-05,25802/9172/11155/1674/7094/83660/7140/1756/1837/6442/171024/7111/2273/4619/477/7168/2199/9499/84033/4620/2318/57731/4629/23345/23500/25777/72/8736/1158/287/1465/58/64236/7414/8516/4892/4621,37
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",24/573,101/6964,0.237623762376238,2.88797885024105,5.72258051947745,1.42133660913687e-06,2.90485669492348e-05,2.90485669492348e-05,10672/596/3708/5579/6256/4209/5567/6446/1026/111/4208/112/2770/84699/2353/5144/2767/2776/115/3727/65267/408/1958/2260,24
Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions,12/573,30/6964,0.4,4.86143106457243,6.34611729063014,1.86707400172811e-06,3.59137175626525e-05,3.59137175626525e-05,7358/54575/54579/54658/54576/441282/57016/54659/7366/7367/7360/54657,12
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,32/573,164/6964,0.195121951219512,2.37142978759631,5.32147646327891,2.88900793683025e-06,5.14574294655828e-05,5.14574294655828e-05,596/5579/6256/54575/54579/153/54658/54576/5567/54659/5241/54852/1139/775/85315/2254/111/367/2949/112/2247/2770/84699/89832/2353/7366/115/408/7367/773/9314/54657,32
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,16/573,53/6964,0.30188679245283,3.66900457703579,5.83993356572072,2.98988122277087e-06,5.14574294655828e-05,5.14574294655828e-05,316/124/54575/54579/54658/54576/54659/126/125/4128/2949/7366/27306/7367/54657/4129,16
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,27/573,132/6964,0.204545454545455,2.4859590671109,5.16072815471689,6.93969488038188e-06,0.000113464011294244,0.000113464011294244,10672/4352/2981/153/4842/1816/6750/5567/2852/5592/2980/54331/2775/111/9630/2788/7068/5593/112/7432/2770/2767/2776/6752/115/7433/2641,27
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,26/573,127/6964,0.204724409448819,2.48813400942683,5.06759865700789,1.00903618972565e-05,0.000157121349542995,0.000157121349542995,6261/3708/5579/6263/5598/54776/5567/815/775/2775/1026/4638/111/782/4208/801/112/817/783/2770/816/6262/2353/2776/818/115,26
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,27/573,135/6964,0.2,2.43071553228621,5.02611845404459,1.07593757415498e-05,0.000159679007281632,0.000159679007281632,10672/3708/4209/291/153/5139/5138/477/489/5592/775/4638/111/5593/3778/4208/801/112/2770/84699/8654/2767/2776/624/115/6546/5350,27
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,14/573,46/6964,0.304347826086957,3.69891494043554,5.49881279137251,1.12312451604817e-05,0.000159679007281632,0.000159679007281632,10170/54575/54579/54658/54576/54659/79154/3294/5959/7366/7367/3291/54657/1589,14
Organismal Systems,Endocrine system,hsa04924,Renin secretion,16/573,59/6964,0.271186440677966,3.29588546750673,5.30255867938553,1.38556705885063e-05,0.000188783511768399,0.000188783511768399,22802/3708/153/117/5139/5567/1908/775/5734/111/5593/3778/801/112/2770/2776,16
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,15/573,54/6964,0.277777777777778,3.37599379484196,5.24800521736205,1.87596990054625e-05,0.000245376862991449,0.000245376862991449,5579/2354/5567/815/775/111/4128/801/817/816/84699/2353/2902/818/4129,15
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,19/573,81/6964,0.234567901234568,2.85083920453321,5.01664552105844,2.16602014283309e-05,0.000272418687194776,0.000272418687194776,5579/5567/815/2775/111/3815/83439/801/112/817/2770/816/84699/7483/2776/818/115/4254/81029,19
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,25/573,126/6964,0.198412698412698,2.41142413917283,4.78706544547083,2.62496052432573e-05,0.000317911885723894,0.000317911885723894,3708/5151/324/5567/815/775/1026/5906/51655/111/5087/83439/112/817/2770/816/1030/84699/2767/7483/2776/818/115/81029/1589,25
Organismal Systems,Digestive system,hsa04970,Salivary secretion,17/573,70/6964,0.242857142857143,2.95158314634754,4.91350654861294,3.62646538344474e-05,0.000423519350138011,0.000423519350138011,6548/3708/5579/6263/153/4842/5567/477/5592/111/5593/3778/801/112/6844/2776/115,17
Human Diseases,Substance dependence,hsa05032,Morphine addiction,16/573,65/6964,0.246153846153846,2.99164988589072,4.83022878142823,5.13590133701226e-05,0.000557510894787903,0.000557510894787903,5579/5151/5139/5138/5567/54331/2775/27115/111/2788/112/2770/5144/115/408/773,16
Organismal Systems,Nervous system,hsa04730,Long-term depression,14/573,52/6964,0.269230769230769,3.27211706269298,4.92404042785187,5.2114594165392e-05,0.000557510894787903,0.000557510894787903,10672/6261/3708/5579/5516/2781/4842/5592/2775/5593/2770/2767/2776/773,14
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,19/573,86/6964,0.22093023255814,2.68509273915338,4.70796306399757,5.28527147964067e-05,0.000557510894787903,0.000557510894787903,1674/153/1756/1837/4842/6442/5567/7168/489/775/111/782/112/783/6262/115/8516/6546/5350,19
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,12/573,40/6964,0.3,3.64607329842932,5.02509684712885,5.60220911270151e-05,0.000572475743704186,0.000572475743704186,10449/37/124/51/38/126/125/35/30/10455/1376/1374,12
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,18/573,80/6964,0.225,2.73455497382199,4.67200964959625,6.42275303446115e-05,0.000636436437051151,0.000636436437051151,3708/5579/5138/5567/815/477/775/111/801/112/817/816/84699/2767/2776/818/115/1589,18
