ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000280,nuclear division,88/875,355/14198,0.247887323943662,4.02229054325956,14.7787119028693,1.11029466683264e-30,4.53888459801183e-27,4.53888459801183e-27,SMC4/MND1/CCNB1/KIF4A/CENPE/RAN/KIF14/SPAG5/TRIP13/DCAF13/PIBF1/NUSAP1/NCAPD2/PLK1/IL1B/MKI67/BORA/CENPI/IL1A/MZT1/AURKB/CENPA/CCDC86/MAD2L1/KNSTRN/BUB1B/TOP2A/HASPIN/TPX2/MAPK15/ESPL1/KIFC1/FIGNL1/NCAPG/RAD54B/FANCD2/KIF11/SPC25/EREG/KNL1/KIF2C/SKA3/KIF23/CDK1/RAD54L/AURKA/KIF15/TTK/BRCA2/SGO1/SPC24/RB1/BUB1/NCAPH/CDC20/UBE2S/CDCA8/CHMP4C/NEK2/CENPF/FBXO5/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/PSRC1/KIF18B/SMC2/CDCA2/PRC1/SYCP2/ANLN/PKMYT1/UHRF1/RAD51AP1/BIRC5/SKA1/CHEK1/SGO2/DLGAP5/RACGAP1/KIF18A/KNTC1/CENPK/BRIP1/BMP7/CDT1,88
GO:0140014,mitotic nuclear division,74/875,267/14198,0.277153558052434,4.49717281968967,14.7836912061505,2.96087698789739e-29,6.05203256326227e-26,6.05203256326227e-26,SMC4/CCNB1/KIF4A/CENPE/RAN/KIF14/SPAG5/TRIP13/PIBF1/NUSAP1/NCAPD2/PLK1/IL1B/MKI67/BORA/CENPI/IL1A/MZT1/AURKB/CENPA/CCDC86/MAD2L1/KNSTRN/BUB1B/HASPIN/TPX2/ESPL1/KIFC1/NCAPG/KIF11/SPC25/EREG/KNL1/KIF2C/SKA3/KIF23/CDK1/AURKA/KIF15/TTK/SPC24/RB1/BUB1/NCAPH/CDC20/UBE2S/CDCA8/CHMP4C/NEK2/CENPF/FBXO5/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/PSRC1/KIF18B/SMC2/CDCA2/PRC1/ANLN/PKMYT1/UHRF1/BIRC5/SKA1/CHEK1/DLGAP5/RACGAP1/KIF18A/KNTC1/CENPK/BMP7/CDT1,74
GO:0048285,organelle fission,89/875,401/14198,0.221945137157107,3.60134520840755,13.5418857817536,3.25218892773935e-27,4.43164944553282e-24,4.43164944553282e-24,SMC4/MND1/CCNB1/KIF4A/CENPE/RAN/KIF14/SPAG5/TRIP13/DCAF13/PIBF1/NUSAP1/NCAPD2/PLK1/IL1B/MKI67/BORA/CENPI/IL1A/MZT1/AURKB/CENPA/CCDC86/MAD2L1/KNSTRN/BUB1B/TOP2A/HASPIN/TPX2/MAPK15/ESPL1/MTFR2/KIFC1/FIGNL1/NCAPG/RAD54B/FANCD2/KIF11/SPC25/EREG/KNL1/KIF2C/SKA3/KIF23/CDK1/RAD54L/AURKA/KIF15/TTK/BRCA2/SGO1/SPC24/RB1/BUB1/NCAPH/CDC20/UBE2S/CDCA8/CHMP4C/NEK2/CENPF/FBXO5/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/PSRC1/KIF18B/SMC2/CDCA2/PRC1/SYCP2/ANLN/PKMYT1/UHRF1/RAD51AP1/BIRC5/SKA1/CHEK1/SGO2/DLGAP5/RACGAP1/KIF18A/KNTC1/CENPK/BRIP1/BMP7/CDT1,89
GO:0098813,nuclear chromosome segregation,72/875,277/14198,0.259927797833935,4.21766271273853,13.8594657426026,1.36844797181866e-26,1.39855382719867e-23,1.39855382719867e-23,SMC4/MND1/ECT2/CCNB1/KIF4A/CENPE/RAN/KIF14/SPAG5/TRIP13/DCAF13/PIBF1/NUSAP1/ACTL6A/NCAPD2/PLK1/CENPI/MZT1/AURKB/CENPA/MAD2L1/KNSTRN/BUB1B/TOP2A/HASPIN/TPX2/MAPK15/ESPL1/KIFC1/NCAPG/FANCD2/KIF11/SPC25/KNL1/KIF2C/SKA3/KIF23/CDK1/KIF15/TTK/SGO1/SPC24/RB1/BUB1/NCAPH/CDC20/CDCA8/CDC6/CHMP4C/NEK2/CENPF/FBXO5/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/PSRC1/KIF18B/SMC2/PRC1/SYCP2/UHRF1/BIRC5/SKA1/SGO2/DLGAP5/RACGAP1/KIF18A/KNTC1/CENPK/CDT1,72
GO:0000070,mitotic sister chromatid segregation,60/875,198/14198,0.303030303030303,4.91705627705628,14.2242603339469,3.69481267791379e-26,3.02087884546232e-23,3.02087884546232e-23,SMC4/CCNB1/KIF4A/CENPE/RAN/KIF14/SPAG5/TRIP13/PIBF1/NUSAP1/NCAPD2/PLK1/CENPI/MZT1/AURKB/CENPA/MAD2L1/KNSTRN/BUB1B/HASPIN/TPX2/ESPL1/KIFC1/NCAPG/KIF11/SPC25/KNL1/KIF2C/SKA3/KIF23/CDK1/KIF15/TTK/SPC24/RB1/BUB1/NCAPH/CDC20/CDCA8/CHMP4C/CENPF/FBXO5/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/PSRC1/KIF18B/SMC2/PRC1/UHRF1/BIRC5/SKA1/DLGAP5/RACGAP1/KIF18A/KNTC1/CENPK/CDT1,60
GO:0007059,chromosome segregation,83/875,378/14198,0.21957671957672,3.56291458805745,12.9427724324597,4.38574985093264e-25,2.98815756510211e-22,2.98815756510211e-22,SMC4/MND1/ECT2/CCNB1/KIF4A/CENPE/RAN/KIF14/SPAG5/TRIP13/DCAF13/PIBF1/CENPH/NUSAP1/ACTL6A/SRPK1/NCAPD2/PLK1/MKI67/CENPI/MZT1/AURKB/CENPA/CCDC86/MAD2L1/KNSTRN/BUB1B/TOP2A/HASPIN/TPX2/GPSM2/MAPK15/ESPL1/KIFC1/NCAPG/CENPW/FANCD2/KIF11/SPC25/KNL1/KIF2C/SKA3/KIF23/CENPN/CDK1/STIL/KIF15/TTK/FIRRM/SGO1/SPC24/RB1/BUB1/NCAPH/HJURP/CDC20/CDCA8/CDC6/CHMP4C/NEK2/CENPF/FBXO5/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/PSRC1/KIF18B/SMC2/CDCA2/PRC1/SYCP2/UHRF1/BIRC5/SKA1/SGO2/DLGAP5/RACGAP1/KIF18A/KNTC1/CENPK/CDT1,83
GO:0000819,sister chromatid segregation,64/875,236/14198,0.271186440677966,4.40034866828087,13.499166059106,7.6546776214955e-25,4.47033173095337e-22,4.47033173095337e-22,SMC4/CCNB1/KIF4A/CENPE/RAN/KIF14/SPAG5/TRIP13/PIBF1/NUSAP1/ACTL6A/NCAPD2/PLK1/CENPI/MZT1/AURKB/CENPA/MAD2L1/KNSTRN/BUB1B/TOP2A/HASPIN/TPX2/MAPK15/ESPL1/KIFC1/NCAPG/KIF11/SPC25/KNL1/KIF2C/SKA3/KIF23/CDK1/KIF15/TTK/SPC24/RB1/BUB1/NCAPH/CDC20/CDCA8/CDC6/CHMP4C/CENPF/FBXO5/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/PSRC1/KIF18B/SMC2/PRC1/UHRF1/BIRC5/SKA1/DLGAP5/RACGAP1/KIF18A/KNTC1/CENPK/CDT1,64
GO:0044770,cell cycle phase transition,88/875,488/14198,0.180327868852459,2.92605152224824,11.0958451629713,2.2553059279537e-20,1.15246132918434e-17,1.15246132918434e-17,RBL1/CCNB1/CENPE/KIF14/TRIP13/BLM/H2AX/ACTL6A/RPA4/PLK1/INHBA/E2F7/NPM1/PRKDC/CCNF/CLSPN/EZH2/AURKB/CCNA2/MAD2L1/TIMELESS/BUB1B/HASPIN/TFAP4/CDC7/MAPK15/FOXM1/CCNB2/ESPL1/MTBP/FANCD2/SPC25/NABP1/KNL1/RFC4/CDK4/ORC1/SKA3/SKP2/CDK1/STIL/E2F1/AURKA/TTK/BRCA2/SPC24/DBF4/TTI1/RFC3/RB1/BUB1/CDC20/CCNO/UBE2S/CDCA8/CDC6/CHMP4C/NEK2/CENPF/FBXO5/UBD/UBE2C/SPDL1/RFWD3/CDC45/ZWINT/ATAD5/CDC25B/NUF2/CDKN3/DTL/ANLN/MYC/PKMYT1/MELK/TICRR/BIRC5/SKA1/CHEK1/ATR/DLGAP5/RRM2/E2F3/KNTC1/PSMA7/CDK2/BRIP1/CDT1,88
GO:1905818,regulation of chromosome separation,33/875,78/14198,0.423076923076923,6.86496703296703,13.3105754643909,4.89079657872406e-20,2.22150849042489e-17,2.22150849042489e-17,SMC4/CCNB1/TRIP13/PLK1/AURKB/MAD2L1/BUB1B/HASPIN/MAPK15/ESPL1/NCAPG/SPC25/KNL1/SKA3/TTK/SPC24/RB1/BUB1/NCAPH/CDC20/CDCA8/CENPF/FBXO5/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/SMC2/BIRC5/SKA1/DLGAP5/KNTC1,33
GO:0051783,regulation of nuclear division,40/875,117/14198,0.341880341880342,5.54744810744811,12.6574213430896,5.79731281647431e-20,2.3699414793747e-17,2.3699414793747e-17,CCNB1/TRIP13/NUSAP1/PLK1/IL1B/MKI67/BORA/IL1A/AURKB/MAD2L1/BUB1B/HASPIN/ESPL1/SPC25/EREG/KNL1/SKA3/AURKA/TTK/SPC24/RB1/BUB1/CDC20/CDCA8/NEK2/CENPF/FBXO5/UBE2C/SPDL1/ZWINT/NUF2/CDCA2/PKMYT1/RAD51AP1/BIRC5/SKA1/CHEK1/DLGAP5/KNTC1/BMP7,40
