ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030527,structural constituent of chromatin,35/853,81/14503,0.432098765432099,7.34669213957999,14.3185597632045,3.3215641868659e-22,2.80340017371482e-19,2.80340017371482e-19,H2AC19/H2AC16/H2BC14/H2BC10/H2AX/H2AC8/HMGA1/H4C12/H4C9/H4C11/H1-5/CENPA/H2BC26/H3C8/H2BC13/H2AC25/H2BC6/H2BC7/H2BC15/H3C11/H2BC11/H3C12/H3C2/H3C7/H2AC13/H4C15/H4C14/H2AC12/H2BC8/H2AC15/H2AC18/H2BC9/H2AC17/H2BC17/H2AC11,35
GO:0120543,macromolecular conformation isomerase activity,38/853,253/14503,0.150197628458498,2.55371184704994,6.23225831860636,8.79624697760286e-08,2.96369728019416e-05,2.96369728019416e-05,DDX39A/KIF4A/CENPE/KIF14/MCM7/BLM/DNAH14/DDX21/TOP2A/DSCC1/KIFC1/FIGNL1/KIF11/DDX31/RFC4/KIF2C/KIF23/CHTF18/KIF12/DDX27/RAD54L/KIF20A/KIF15/RFC3/DDX10/TNNT2/TOP1MT/KIF18B/ERCC6L/MCM2/POLQ/RTEL1/KIF18A/RECQL4/MCM4/BRIP1/DHX34/HELLS,38
GO:0016853,isomerase activity,50/853,387/14503,0.129198966408269,2.1966853573495,5.96488087797776,1.22756910040423e-07,2.96369728019416e-05,2.96369728019416e-05,DDX39A/KIF4A/CENPE/KIF14/MCM7/BLM/DNAH14/PUS1/DDX21/HSPD1/TOP2A/DSCC1/PMM2/KIFC1/FIGNL1/KIF11/DDX31/RFC4/CYP2S1/KIF2C/KIF23/CHTF18/KIF12/PUS7L/GNPDA1/DDX27/RAD54L/KIF20A/KIF15/RPIA/RFC3/FKBP10/DKC1/DDX10/TNNT2/EBPL/TOP1MT/PPIH/KIF18B/ERCC6L/MCM2/POLQ/RTEL1/KIF18A/RECQL4/MCM4/PUS7/BRIP1/DHX34/HELLS,50
GO:0046982,protein heterodimerization activity,42/853,300/14503,0.14,2.38032825322392,6.0391400551266,1.40459586739059e-07,2.96369728019416e-05,2.96369728019416e-05,H2AC19/H2AC16/H2BC14/RAN/H2BC10/H2AX/H2AC8/H4C12/H4C9/H4C11/QTRT2/CENPA/H2BC26/H3C8/TOP2A/H2BC13/H2AC25/H2BC6/H2BC7/H2BC15/CENPW/H3C11/H2BC11/H3C12/H3C2/H3C7/H2AC13/H4C15/AURKA/SIM2/H4C14/H2AC12/PAFAH1B3/IRAK2/H2BC8/H2AC15/H2AC18/H2BC9/H2AC17/BIRC5/H2BC17/H2AC11,42
GO:0048018,receptor ligand activity,45/853,353/14503,0.127478753541077,2.1674377052828,5.55092026271066,7.69780191323775e-07,0.000129938896295453,0.000129938896295453,ANGPTL3/ICAM5/IL11/ZP3/CMTM8/IL1B/INHBA/TNFSF11/IL1A/CCL20/CXCL6/GDF15/CD80/AGT/CXCL5/CCL3L3/IL1RN/ULBP3/EREG/RETN/VEGFA/CXCL10/NCR3LG1/CCL3/PLAU/CCL22/TG/SHH/CRIPTO3/PMCH/WNT3/MACC1/CXCL11/LIF/CXCL1/CXCL9/PGF/ULBP2/REG3A/CRIPTO/JAG2/SEMA7A/CXCL8/RAET1L/BMP7,45
GO:0030545,signaling receptor regulator activity,48/853,396/14503,0.121212121212121,2.06089026253153,5.35085106827232,1.44352866831674e-06,0.00018676560570627,0.00018676560570627,ANGPTL3/ICAM5/IL11/ZP3/CMTM8/IL1B/INHBA/TNFSF11/IL1A/CCL20/PCSK9/CXCL6/GDF15/CD80/AGT/CXCL5/CCL3L3/IL1RN/ULBP3/EREG/LY6E/RETN/VEGFA/CXCL10/NCR3LG1/CCL3/PLAU/CCL22/TG/SHH/LY6G6D/CRIPTO3/PMCH/WNT3/MACC1/CXCL11/LIF/CXCL1/CXCL9/PGF/ULBP2/REG3A/CRIPTO/JAG2/SEMA7A/CXCL8/RAET1L/BMP7,48
GO:0030546,signaling receptor activator activity,45/853,362/14503,0.124309392265193,2.11355113249953,5.36347830624251,1.54900383879608e-06,0.00018676560570627,0.00018676560570627,ANGPTL3/ICAM5/IL11/ZP3/CMTM8/IL1B/INHBA/TNFSF11/IL1A/CCL20/CXCL6/GDF15/CD80/AGT/CXCL5/CCL3L3/IL1RN/ULBP3/EREG/RETN/VEGFA/CXCL10/NCR3LG1/CCL3/PLAU/CCL22/TG/SHH/CRIPTO3/PMCH/WNT3/MACC1/CXCL11/LIF/CXCL1/CXCL9/PGF/ULBP2/REG3A/CRIPTO/JAG2/SEMA7A/CXCL8/RAET1L/BMP7,45
GO:0016887,ATP hydrolysis activity,45/853,378/14503,0.119047619047619,2.02408865070061,5.04326007892055,4.9710424852046e-06,0.000524444982189085,0.000524444982189085,SMC4/HSP90AB4P/DDX39A/KIF14/MCM7/TRIP13/BLM/DDX21/ATP11A/HSPD1/HSPH1/CCT6A/KIFC1/FIGNL1/RAD54B/HSPA6/DDX31/RFC4/KIF2C/ORC1/KIF23/CHTF18/KIF12/DDX27/RAD54L/KIF20A/KIF15/ATAD2/TTF2/DDX10/ABCC2/ATAD5/KIF18B/SMC2/ERCC6L/MCM2/POLQ/CCT2/RTEL1/KIF18A/RECQL4/MCM4/BRIP1/DHX34/HELLS,45
GO:0005125,cytokine activity,23/853,143/14503,0.160839160839161,2.73464284835914,5.21102322769643,9.76862246752448e-06,0.000858033092698573,0.000858033092698573,IL11/CMTM8/IL1B/INHBA/TNFSF11/IL1A/CCL20/CXCL6/GDF15/CXCL5/CCL3L3/IL1RN/VEGFA/CXCL10/CCL3/CCL22/WNT3/CXCL11/LIF/CXCL1/CXCL9/CXCL8/BMP7,23
GO:0035173,histone kinase activity,9/853,26/14503,0.346153846153846,5.88542699972946,6.23264018285818,1.01662688708362e-05,0.000858033092698573,0.000858033092698573,PRKDC/AURKB/HASPIN/CDK1/AURKA/BUB1/CHEK1/ATR/CDK2,9
