category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,45/448,153/6964,0.294117647058824,4.57195378151261,11.7136642821577,6.04812358542821e-19,1.90515892940989e-16,1.90515892940989e-16,5933/891/4176/9319/5347/157570/5591/9212/890/4085/701/1875/8317/9133/9700/113130/27085/23594/57082/1019/4998/6502/983/1869/7272/151648/10926/5925/699/991/990/26271/5111/8318/994/4171/4609/9088/90381/1111/545/4173/1871/1017/81620,45
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,37/448,121/6964,0.305785123966942,4.75332054309327,10.9202287999751,2.28374309389673e-16,3.59689537288735e-14,3.59689537288735e-14,723790/8332/8342/8331/8346/3014/3012/8362/8294/8363/128312/8355/8340/717/92815/941/8344/8343/8341/8354/8970/8356/8358/8968/8329/554313/2214/8370/85235/8339/8330/8337/8345/8336/6628/8348/8969,37
Human Diseases,Substance dependence,hsa05034,Alcoholism,35/448,164/6964,0.213414634146341,3.31745426829268,7.87454206231657,1.52185018915912e-10,1.59794269861707e-08,1.59794269861707e-08,723790/8332/8342/8331/8346/3014/3012/8362/8294/8363/128312/8355/8340/92815/8344/8343/8341/8354/2786/8970/8356/8358/8968/8329/554313/8370/85235/2906/8339/8330/8337/8345/8336/8348/8969,35
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,35/448,176/6964,0.198863636363636,3.09126420454545,7.36785359836208,1.16384155045632e-09,9.1652522098435e-08,9.1652522098435e-08,5332/723790/8332/8342/8331/8346/3014/3012/8362/8294/8363/128312/8355/8340/92815/8344/8343/8341/8354/8970/8356/8358/8968/8329/554313/2214/8370/85235/8339/8330/8337/8345/8336/8348/8969,35
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,17/448,82/6964,0.207317073170732,3.22266986062718,5.3084926371897,1.34314200582563e-05,0.000793558282413253,0.000793558282413253,3589/3553/8600/3552/6364/6372/245973/941/6374/414062/4314/7422/6348/2919/1493/4312/3576,17
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,29/448,194/6964,0.149484536082474,2.32368372606775,4.90272379293066,1.51153958554905e-05,0.000793558282413253,0.000793558282413253,3589/3553/3624/8600/3552/6364/3604/6372/53832/9518/6374/414062/3557/3627/6348/6367/51330/8771/7293/6373/8808/3976/2919/4283/10913/9560/3576/655/943,29
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,10/448,36/6964,0.277777777777778,4.31795634920635,5.23316762332417,6.10891783338861e-05,0.00274901302502487,0.00274901302502487,4176/29935/5422/5984/5983/3978/10535/5111/4171/4173,10
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,27/448,191/6964,0.141361256544503,2.19741024682124,4.39962623297661,8.08462310968632e-05,0.00318332034943899,0.00318332034943899,5933/8342/2648/8346/8362/8294/8363/890/128312/8340/8344/8343/8341/8970/1019/6502/983/554313/8370/5925/991/8339/7188/8345/1111/1017/8348,27
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,17/448,110/6964,0.154545454545455,2.4023538961039,3.88712569872638,0.000599630557138147,0.0209870694998351,0.0209870694998351,723790/8332/8331/3014/86/3012/84295/92815/8329/85235/79913/8330/55257/8337/8336/8089/8969,17
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,13/448,75/6964,0.173333333333333,2.69440476190476,3.86826634587007,0.000872065965106825,0.0274494313200539,0.0274494313200539,6364/6372/53832/6374/414062/3627/6348/6367/6373/2919/4283/9560/3576,13
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,9/448,41/6964,0.219512195121951,3.41223867595819,4.06173612557614,0.000958551569906643,0.0274494313200539,0.0274494313200539,7422/1019/1869/5925/4609/4312/4318/1871/3576,9
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,13/448,77/6964,0.168831168831169,2.62442022263451,3.75816094741898,0.00112526257429409,0.0288925410441019,0.0288925410441019,3553/6364/6372/225689/6374/4314/3627/7188/2919/4312/4318/4322/3576,13
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,18/448,127/6964,0.141732283464567,2.20317772778403,3.58794288709381,0.00119239058277246,0.0288925410441019,0.0288925410441019,9076/6273/9080/6282/3854/3872/5317/9075/285848/6700/6703/3875/2125/1294/1830/25984/144501/29943,18
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,15/448,98/6964,0.153061224489796,2.37928206997085,3.60546177619079,0.00137106707461727,0.0308490091788886,0.0308490091788886,26354/5901/780851/55127/10799/51602/23160/10528/10885/29107/1736/10813/84128/84135/22803,15
