ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-69620,Cell Cycle Checkpoints,73/604,289/9301,0.252595155709343,3.88971447558377,13.1512935537333,3.9151648192183e-25,4.5572518495701e-22,4.5572518495701e-22,CCNB1/H2BC14/CENPE/MCM7/BLM/MCM10/H2BC10/CENPH/H2AX/H4C12/PLK1/H4C9/H4C11/CENPI/CLSPN/AURKB/CENPA/CCNA2/MAD2L1/BUB1B/H2BC26/H2BC13/H2BC6/CDC7/H2BC7/H2BC15/CCNB2/ORC6/SPC25/KNL1/H2BC11/RFC4/KIF2C/ORC1/CENPN/CDK1/H4C15/EXO1/H4C14/SGO1/SPC24/DBF4/RFC3/BUB1/CDC20/UBE2S/CDCA8/CDC6/CENPF/GTSE1/UBE2C/SPDL1/CDC45/ZWINT/NUF2/H2BC8/ERCC6L/MCM2/H2BC9/PKMYT1/BIRC5/SKA1/CHEK1/SGO2/ATR/KIF18A/MCM4/KNTC1/PSMA7/CDK2/H2BC17/CENPK/BRIP1,73
R-HSA-68886,M Phase,82/604,400/9301,0.205,3.15679635761589,11.6197007927744,1.02917600221365e-21,5.98980433288342e-19,5.98980433288342e-19,SMC4/H2AC19/CCNB1/H2BC14/CENPE/RAN/H2AC14/H2BC10/CENPH/H2AX/H2AC8/NCAPD2/H4C12/PLK1/H4C9/H4C11/CENPI/MZT1/AURKB/CENPA/MAD2L1/BUB1B/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/CCNB2/ESPL1/NCAPG/CDCA5/H3C11/NUP58/SPC25/RAE1/KNL1/H2BC11/H3C12/KIF2C/H3C2/H3C7/KIF23/CENPN/CDK1/H4C15/KIF20A/H4C14/FIRRM/SGO1/SPC24/RB1/BUB1/LMNB1/NCAPH/CDC20/TMPO/UBE2S/CDCA8/CHMP4C/NEK2/CENPF/FBXO5/PLK4/NCAPG2/UBE2C/SPDL1/ZWINT/NUF2/H2BC8/SMC2/H2AC18/ERCC6L/H2BC9/BIRC5/SKA1/SGO2/KIF18A/KNTC1/PSMA7/H2BC17/CENPK,82
R-HSA-2299718,Condensation of Prophase Chromosomes,33/604,71/9301,0.464788732394366,7.15728476821192,13.7243811963858,5.06674743620016e-21,1.96589800524566e-18,1.96589800524566e-18,SMC4/H2AC19/CCNB1/H2BC14/H2AC14/H2BC10/H2AX/H2AC8/H4C12/PLK1/H4C9/H4C11/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/H3C11/H2BC11/H3C12/H3C2/H3C7/CDK1/H4C15/H4C14/RB1/NCAPG2/H2BC8/SMC2/H2AC18/H2BC9/H2BC17,33
R-HSA-69306,DNA Replication,52/604,181/9301,0.287292817679558,4.42402400204896,12.2589670347131,7.74738374759872e-21,2.25448867055123e-18,2.25448867055123e-18,H2AC19/H2BC14/H2AC14/MCM7/MCM10/H2BC10/H2AX/H2AC8/RPA4/POLA1/H4C12/H4C9/H4C11/CCNA2/H2BC26/H3C8/H2BC13/H2BC6/CDC7/H2BC7/H2BC15/GINS3/H3C11/ORC6/H2BC11/RFC4/H3C12/GINS2/H3C2/ORC1/H3C7/SKP2/H4C15/H4C14/DBF4/RFC3/LIG1/UBE2S/CDC6/PCNA/UBE2C/CDC45/H2BC8/GINS1/H2AC18/MCM2/H2BC9/MCM4/PSMA7/CDK2/H2BC17/CDT1,52
R-HSA-912446,Meiotic recombination,33/604,83/9301,0.397590361445783,6.12249660895237,12.353146230572,1.92585805326036e-18,4.48339754799012e-16,4.48339754799012e-16,H2AC19/MND1/H2BC14/H2AC14/BLM/H2BC10/H2AX/H2AC8/H4C12/H4C9/H4C11/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/FIGNL1/H3C11/H2BC11/H3C12/H3C2/CDK4/H3C7/H4C15/H4C14/BRCA2/FIRRM/H2BC8/H2AC18/H2BC9/CDK2/H2BC17,33
R-HSA-73886,Chromosome Maintenance,42/604,137/9301,0.306569343065693,4.72086334412916,11.5620986858336,3.46944008119077e-18,6.73071375751009e-16,6.73071375751009e-16,H2AC19/H2BC14/H2AC14/BLM/H2BC10/CENPH/H2AX/H2AC8/POLA1/H4C12/H4C9/H4C11/NPM1/CENPI/CENPA/CCNA2/H2BC26/H2BC13/DSCC1/H2BC6/H2BC7/H2BC15/CENPW/KNL1/H2BC11/RFC4/CHTF18/CENPN/H4C15/H4C14/RFC3/HJURP/LIG1/DKC1/PCNA/H2BC8/H2AC18/H2BC9/RTEL1/CDK2/H2BC17/CENPK,42
R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,30/604,71/9301,0.422535211267606,6.50662251655629,12.2740768645278,9.08195182430351e-18,1.2667897786754e-15,1.2667897786754e-15,H2AC19/H2BC14/H2AC14/H2BC10/CENPH/H2AX/H2AC8/H4C12/H4C9/H4C11/NPM1/CENPI/CENPA/H2BC26/H2BC13/H2BC6/H2BC7/H2BC15/CENPW/KNL1/H2BC11/CENPN/H4C15/H4C14/HJURP/H2BC8/H2AC18/H2BC9/H2BC17/CENPK,30
R-HSA-774815,Nucleosome assembly,30/604,71/9301,0.422535211267606,6.50662251655629,12.2740768645278,9.08195182430351e-18,1.2667897786754e-15,1.2667897786754e-15,H2AC19/H2BC14/H2AC14/H2BC10/CENPH/H2AX/H2AC8/H4C12/H4C9/H4C11/NPM1/CENPI/CENPA/H2BC26/H2BC13/H2BC6/H2BC7/H2BC15/CENPW/KNL1/H2BC11/CENPN/H4C15/H4C14/HJURP/H2BC8/H2AC18/H2BC9/H2BC17/CENPK,30
R-HSA-69002,DNA Replication Pre-Initiation,43/604,147/9301,0.292517006802721,4.50447132495382,11.2862829159539,9.7947663299644e-18,1.2667897786754e-15,1.2667897786754e-15,H2AC19/H2BC14/H2AC14/MCM7/MCM10/H2BC10/H2AX/H2AC8/RPA4/POLA1/H4C12/H4C9/H4C11/H2BC26/H3C8/H2BC13/H2BC6/CDC7/H2BC7/H2BC15/H3C11/ORC6/H2BC11/H3C12/H3C2/ORC1/H3C7/H4C15/H4C14/DBF4/UBE2S/CDC6/UBE2C/CDC45/H2BC8/H2AC18/MCM2/H2BC9/MCM4/PSMA7/CDK2/H2BC17/CDT1,43
R-HSA-9616222,Transcriptional regulation of granulopoiesis,32/604,85/9301,0.376470588235294,5.797273081418,11.7086784529736,4.33700667011909e-17,5.04827576401862e-15,5.04827576401862e-15,H2AC19/H2BC14/H2AC14/H2BC10/H2AX/H2AC8/H4C12/H4C9/H4C11/MYB/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/H3C11/H2BC11/H3C12/H3C2/CDK4/H3C7/E2F1/H4C15/H4C14/LEF1/H2BC8/H2AC18/H2BC9/MYC/CDK2/H2BC17,32
R-HSA-9940465,ChAHP complex assembly,27/604,60/9301,0.45,6.92955298013245,12.142645116658,5.69483833847121e-17,5.95894311882913e-15,5.95894311882913e-15,H2AC19/H2BC14/H2AC14/H2BC10/H2AX/H2AC8/H4C12/H4C9/H4C11/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/H3C11/H2BC11/H3C12/H3C2/H3C7/H4C15/H4C14/H2BC8/H2AC18/CBX3/H2BC9/H2BC17,27
R-HSA-1500620,Meiosis,36/604,109/9301,0.330275229357798,5.08591044413391,11.3076483230744,6.34560512184934e-17,5.95894311882913e-15,5.95894311882913e-15,H2AC19/MND1/H2BC14/H2AC14/BLM/H2BC10/H2AX/H2AC8/H4C12/H4C9/H4C11/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/FIGNL1/H3C11/H2BC11/H3C12/H3C2/CDK4/H3C7/H4C15/H4C14/BRCA2/FIRRM/LMNB1/H2BC8/H2AC18/SYCP2/H2BC9/ATR/CDK2/H2BC17,36
R-HSA-69481,G2/M Checkpoints,43/604,154/9301,0.279220779220779,4.29972262836501,10.8811216185113,6.65517702274731e-17,5.95894311882913e-15,5.95894311882913e-15,CCNB1/H2BC14/MCM7/BLM/MCM10/H2BC10/H2AX/H4C12/H4C9/H4C11/CLSPN/CCNA2/H2BC26/H2BC13/H2BC6/CDC7/H2BC7/H2BC15/CCNB2/ORC6/H2BC11/RFC4/ORC1/CDK1/H4C15/EXO1/H4C14/DBF4/RFC3/CDC6/GTSE1/CDC45/H2BC8/MCM2/H2BC9/PKMYT1/CHEK1/ATR/MCM4/PSMA7/CDK2/H2BC17/BRIP1,43
R-HSA-5334118,DNA methylation,27/604,61/9301,0.442622950819672,6.81595375094995,12.0095043765292,9.60390258766387e-17,7.83036924641229e-15,7.83036924641229e-15,H2AC19/H2BC14/H2AC14/H2BC10/H2AX/H2AC8/H4C12/H4C9/H4C11/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/H3C11/H2BC11/H3C12/H3C2/H3C7/H4C15/H4C14/H2BC8/H2AC18/H2BC9/UHRF1/H2BC17,27
R-HSA-68616,Assembly of the ORC complex at the origin of replication,28/604,66/9301,0.424242424242424,6.53291190046157,11.8872797004534,1.00906820185725e-16,7.83036924641229e-15,7.83036924641229e-15,H2AC19/H2BC14/H2AC14/H2BC10/H2AX/H2AC8/H4C12/H4C9/H4C11/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/H3C11/ORC6/H2BC11/H3C12/H3C2/ORC1/H3C7/H4C15/H4C14/H2BC8/H2AC18/H2BC9/H2BC17,28
R-HSA-5250924,B-WICH complex positively regulates rRNA expression,32/604,88/9301,0.363636363636364,5.5996387718242,11.4245666373452,1.42617529972997e-16,1.03754253055356e-14,1.03754253055356e-14,H2AC19/H2BC14/KAT2A/H2AC14/H2BC10/H2AX/H2AC8/H4C12/H4C9/H4C11/DDX21/TAF1D/H2BC26/H3C8/H2BC13/H2BC6/H2BC7/H2BC15/H3C11/H2BC11/H3C12/POLR1C/H3C2/POLR1B/H3C7/POLR1D/H4C15/H4C14/H2BC8/H2AC18/H2BC9/H2BC17,32
