Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
CST1,9.732806052,1.14e-23,cystatin SN,Up
S100A2,8.990822747,1.75e-20,S100 calcium binding protein A2,Up
DPEP1,8.146388456,5.31e-21,dipeptidase 1,Up
PLP1,-8.165474111,3.45e-20,proteolipid protein 1,Down
LDB3,-6.806002141,6.74e-25,LIM domain binding 3,Down
OTOP2,-8.60199896,3.83e-15,otopetrin 2,Down
SIM2,6.772588529,8.2e-24,SIM bHLH transcription factor 2,Up
REG3A,9.126974205,2.8e-12,regenerating family member 3 alpha,Up
SALL4,6.725396896,1.17e-20,spalt like transcription factor 4,Up
AQP8,-6.454894143,6.25e-22,aquaporin 8,Down
MMP7,6.917609315,4.13e-16,matrix metallopeptidase 7,Up
KRT80,5.811065163,2.37e-23,keratin 80,Up
MMP1,6.064486072,1.13e-20,matrix metallopeptidase 1,Up
VSTM2A,-7.321512437,4.76e-14,V-set and transmembrane domain containing 2A,Down
KCNB1,-6.803732613,5.25e-16,potassium voltage-gated channel subfamily B member 1,Down
CST2,6.205465058,2.87e-18,cystatin SA,Up
NLGN1,-7.452145085,6.01e-13,neuroligin 1,Down
ETV4,5.103678846,3.72e-31,ETS variant transcription factor 4,Up
BCHE,-7.172203731,1.91e-13,butyrylcholinesterase,Down
RBM20,-6.320882648,1.92e-16,RNA binding motif protein 20,Down
SST,-6.299647734,2.17e-16,somatostatin,Down
KLK6,7.298715648,3.42e-12,kallikrein related peptidase 6,Up
CDH3,5.462306161,1.03e-21,cadherin 3,Up
DPP6,-7.227860229,4.18e-12,dipeptidyl peptidase like 6,Down
GOLGA6L24,7.316663659,8e-12,golgin A6 family like 24,Up
CA7,-6.562210005,2.11e-13,carbonic anhydrase 7,Down
HSPB8,-5.949522401,9.26e-16,heat shock protein family B (small) member 8,Down
CA4,-5.231475887,5.24e-20,carbonic anhydrase 4,Down
GOLGA6L25,7.055795143,5.99e-11,golgin A6 family like 25,Up
LONRF2,-6.426358633,1.95e-12,LON peptidase N-terminal domain and ring finger 2,Down
LY6G6F-LY6G6D,5.662407936,4.1e-15,LY6G6F-LY6G6D readthrough,Up
BEST4,-6.212774068,1.19e-12,bestrophin 4,Down
LY6G6D,5.613789599,7.05e-15,lymphocyte antigen 6 family member G6D,Up
ESM1,6.657710392,5.41e-11,endothelial cell specific molecule 1,Up
GUCA2A,-5.166795728,1.31e-16,guanylate cyclase activator 2A,Down
CEMIP,4.594250398,2.61e-22,cell migration inducing hyaluronidase 1,Up
PGA5,-6.677808861,3.53e-10,pepsinogen A5,Down
KIF1A,-7.175727102,2.69e-09,kinesin family member 1A,Down
RAET1L,5.278275337,4.95e-14,retinoic acid early transcript 1L,Up
NOS1,-6.04879207,4.99e-11,nitric oxide synthase 1,Down
SCN4A,-6.174665146,1.04e-10,sodium voltage-gated channel alpha subunit 4,Down
CLDN1,4.568622517,5.55e-18,claudin 1,Up
EVA1A,4.920241461,6.97e-15,"eva-1 homolog A, regulator of programmed cell death",Up
FXYD1,-5.147557107,2.3e-13,FXYD domain containing ion transport regulator 1,Down
TACR2,-5.2992802,1.42e-12,tachykinin receptor 2,Down
FAM135B,-6.185655466,7.59e-10,family with sequence similarity 135 member B,Down
LARGE2,4.357491248,3.58e-18,LARGE xylosyl- and glucuronyltransferase 2,Up
ADCYAP1R1,-6.088306097,7.49e-10,ADCYAP receptor type I,Down
NRG2,-5.873658046,4.05e-10,neuregulin 2,Down
CLDN2,6.675788417,1.16e-08,claudin 2,Up
FABP6,5.649782134,2.34e-10,fatty acid binding protein 6,Up
GRHL3,5.865391396,9.79e-10,grainyhead like transcription factor 3,Up
CA2,-4.776706422,1.06e-12,carbonic anhydrase 2,Down
UNC93A,6.190789066,6.5e-09,unc-93 homolog A,Up
GUCA2B,-7.264360973,1.33e-07,guanylate cyclase activator 2B,Down
C11orf86,-4.465007595,7.77e-14,chromosome 11 open reading frame 86,Down
GLP2R,-4.264132391,7.47e-15,glucagon like peptide 2 receptor,Down
ENTREP1,-4.322365735,1.98e-14,endosomal transmembrane epsin interactor 1,Down
SCARA5,-4.201614404,3.76e-15,scavenger receptor class A member 5,Down
KCNMA1,-5.153146205,1.44e-10,potassium calcium-activated channel subfamily M alpha 1,Down
TCN1,6.516986175,4.1e-08,transcobalamin 1,Up
PTPRZ1,-6.586245129,5.37e-08,protein tyrosine phosphatase receptor type Z1,Down
CEL,4.160597788,2.29e-14,carboxyl ester lipase,Up
GREM2,-4.474820714,2.15e-12,"gremlin 2, DAN family BMP antagonist",Down
INHBA,4.54105303,6.45e-12,inhibin subunit beta A,Up
CA9,4.360111624,1.84e-12,carbonic anhydrase 9,Up
FAM107A,-4.058055585,4.16e-14,family with sequence similarity 107 member A,Down
MMP13,5.219968865,2.4e-09,matrix metallopeptidase 13,Up
SLC30A10,-4.193225486,7.95e-13,solute carrier family 30 member 10,Down
CLEC3B,-3.774661683,1.31e-15,C-type lectin domain family 3 member B,Down
TMPRSS13,5.249424395,5.03e-09,transmembrane serine protease 13,Up
EPHX4,4.276665642,6.83e-12,epoxide hydrolase 4,Up
TMOD1,-3.981247816,2.65e-13,tropomodulin 1,Down
NEXMIF,-5.814710144,6.11e-08,neurite extension and migration factor,Down
CNTN1,-5.409870501,1.81e-08,contactin 1,Down
ULBP2,4.269726444,1.67e-11,UL16 binding protein 2,Up
FLNC,-4.491884084,1.43e-10,filamin C,Down
