Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
1469,CST1,cystatin SN,9.73280605168105,1.14408305075133e-23,UP
6273,S100A2,S100 calcium binding protein A2,8.99082274688101,1.75372949402682e-20,UP
1800,DPEP1,dipeptidase 1,8.14638845577781,5.30888669787934e-21,UP
5354,PLP1,proteolipid protein 1,-8.16547411134783,3.45347597679072e-20,DOWN
11155,LDB3,LIM domain binding 3,-6.80600214133152,6.74262334083939e-25,DOWN
92736,OTOP2,otopetrin 2,-8.60199896001093,3.83462799056107e-15,DOWN
6493,SIM2,SIM bHLH transcription factor 2,6.772588529377,8.19760091997078e-24,UP
5068,REG3A,regenerating family member 3 alpha,9.12697420453391,2.80086417643573e-12,UP
57167,SALL4,spalt like transcription factor 4,6.72539689586424,1.16713145482123e-20,UP
343,AQP8,aquaporin 8,-6.45489414318717,6.25299116027598e-22,DOWN
4316,MMP7,matrix metallopeptidase 7,6.9176093154767,4.12742442336583e-16,UP
144501,KRT80,keratin 80,5.81106516315243,2.36713032604127e-23,UP
4312,MMP1,matrix metallopeptidase 1,6.06448607165947,1.12917091229086e-20,UP
222008,VSTM2A,V-set and transmembrane domain containing 2A,-7.32151243740026,4.76120629817792e-14,DOWN
3745,KCNB1,potassium voltage-gated channel subfamily B member 1,-6.80373261312182,5.24722771960094e-16,DOWN
1470,CST2,cystatin SA,6.20546505836841,2.87232942090709e-18,UP
22871,NLGN1,neuroligin 1,-7.4521450854874,6.00888917886353e-13,DOWN
2118,ETV4,ETS variant transcription factor 4,5.10367884562072,3.72114260163235e-31,UP
590,BCHE,butyrylcholinesterase,-7.17220373067397,1.91421072303926e-13,DOWN
282996,RBM20,RNA binding motif protein 20,-6.32088264756713,1.92200925527821e-16,DOWN
6750,SST,somatostatin,-6.29964773435866,2.17319896042394e-16,DOWN
5653,KLK6,kallikrein related peptidase 6,7.29871564811717,3.42233136815735e-12,UP
1001,CDH3,cadherin 3,5.46230616090965,1.02740957231714e-21,UP
1804,DPP6,dipeptidyl peptidase like 6,-7.22786022896058,4.18250911182323e-12,DOWN
645202,GOLGA6L24,golgin A6 family like 24,7.31666365850281,8.00487864549067e-12,UP
766,CA7,carbonic anhydrase 7,-6.5622100049399,2.10551145905988e-13,DOWN
26353,HSPB8,heat shock protein family B (small) member 8,-5.94952240133251,9.25583248011259e-16,DOWN
762,CA4,carbonic anhydrase 4,-5.23147588670343,5.23655160044741e-20,DOWN
100132202,GOLGA6L25,golgin A6 family like 25,7.05579514257172,5.98718554959673e-11,UP
164832,LONRF2,LON peptidase N-terminal domain and ring finger 2,-6.42635863250868,1.95465921723518e-12,DOWN
110599563,LY6G6F-LY6G6D,LY6G6F-LY6G6D readthrough,5.66240793638762,4.10246184571712e-15,UP
266675,BEST4,bestrophin 4,-6.21277406796063,1.18848181353584e-12,DOWN
58530,LY6G6D,lymphocyte antigen 6 family member G6D,5.61378959861974,7.04876016654329e-15,UP
11082,ESM1,endothelial cell specific molecule 1,6.657710391754,5.40719150737916e-11,UP
2980,GUCA2A,guanylate cyclase activator 2A,-5.16679572791349,1.31324464828513e-16,DOWN
57214,CEMIP,cell migration inducing hyaluronidase 1,4.59425039846799,2.60641278271668e-22,UP
5222,PGA5,pepsinogen A5,-6.67780886101138,3.53168489977374e-10,DOWN
547,KIF1A,kinesin family member 1A,-7.17572710182604,2.69143178042166e-09,DOWN
154064,RAET1L,retinoic acid early transcript 1L,5.27827533719967,4.94527438641571e-14,UP
4842,NOS1,nitric oxide synthase 1,-6.0487920703903,4.98631497900309e-11,DOWN
6329,SCN4A,sodium voltage-gated channel alpha subunit 4,-6.17466514633419,1.03885226415868e-10,DOWN
9076,CLDN1,claudin 1,4.56862251746661,5.55197312863786e-18,UP
84141,EVA1A,"eva-1 homolog A, regulator of programmed cell death",4.92024146108949,6.97010104927938e-15,UP
5348,FXYD1,FXYD domain containing ion transport regulator 1,-5.14755710670553,2.29931394265325e-13,DOWN
6865,TACR2,tachykinin receptor 2,-5.29928019993078,1.41998373979763e-12,DOWN
51059,FAM135B,family with sequence similarity 135 member B,-6.18565546630481,7.59036627691067e-10,DOWN
120071,LARGE2,LARGE xylosyl- and glucuronyltransferase 2,4.35749124776617,3.58235756626963e-18,UP
117,ADCYAP1R1,ADCYAP receptor type I,-6.08830609744179,7.48786171850398e-10,DOWN
9542,NRG2,neuregulin 2,-5.87365804637701,4.05298070829417e-10,DOWN
9075,CLDN2,claudin 2,6.67578841675407,1.15512523281843e-08,UP
2172,FABP6,fatty acid binding protein 6,5.64978213353476,2.33923714293544e-10,UP
57822,GRHL3,grainyhead like transcription factor 3,5.86539139620953,9.78956505765001e-10,UP
760,CA2,carbonic anhydrase 2,-4.77670642172843,1.05712894422203e-12,DOWN
54346,UNC93A,unc-93 homolog A,6.19078906644219,6.50142523773598e-09,UP
2981,GUCA2B,guanylate cyclase activator 2B,-7.26436097338831,1.33253334703726e-07,DOWN
254439,C11orf86,chromosome 11 open reading frame 86,-4.46500759515691,7.76516704286166e-14,DOWN
9340,GLP2R,glucagon like peptide 2 receptor,-4.26413239116016,7.4656709352467e-15,DOWN
9413,ENTREP1,endosomal transmembrane epsin interactor 1,-4.32236573484953,1.98246482093322e-14,DOWN
286133,SCARA5,scavenger receptor class A member 5,-4.2016144037423,3.75919378041188e-15,DOWN
3778,KCNMA1,potassium calcium-activated channel subfamily M alpha 1,-5.15314620502078,1.4430118264052e-10,DOWN
6947,TCN1,transcobalamin 1,6.51698617549307,4.09648163741021e-08,UP
5803,PTPRZ1,protein tyrosine phosphatase receptor type Z1,-6.58624512900297,5.36809328005001e-08,DOWN
1056,CEL,carboxyl ester lipase,4.16059778813419,2.28746815510581e-14,UP
64388,GREM2,"gremlin 2, DAN family BMP antagonist",-4.47482071386627,2.15391743082235e-12,DOWN
3624,INHBA,inhibin subunit beta A,4.54105302996603,6.45494663886996e-12,UP
768,CA9,carbonic anhydrase 9,4.36011162414011,1.83710946968209e-12,UP
11170,FAM107A,family with sequence similarity 107 member A,-4.05805558502652,4.15814476687931e-14,DOWN
4322,MMP13,matrix metallopeptidase 13,5.21996886510326,2.39547914962965e-09,UP
55532,SLC30A10,solute carrier family 30 member 10,-4.19322548587037,7.9479017936274e-13,DOWN
7123,CLEC3B,C-type lectin domain family 3 member B,-3.77466168303712,1.31114154847312e-15,DOWN
84000,TMPRSS13,transmembrane serine protease 13,5.24942439524166,5.02973193596272e-09,UP
253152,EPHX4,epoxide hydrolase 4,4.27666564240671,6.82815273014707e-12,UP
