Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank,Gene_Symbol,Gene_Description
1469,2,9.732806052,7.830604549,11.63500755,1.14E-23,0.798900808,0.371422213,100.5678763,1.14E-23,FALSE,1,CST1,cystatin SN
6273,1,8.990822747,7.091188054,10.89045744,1.75E-20,0,1,86.05079133,1.75E-20,FALSE,2,S100A2,S100 calcium binding protein A2
1800,1,8.146388456,6.448331536,9.844445376,5.31E-21,0,1,88.41418028,5.31E-21,FALSE,3,DPEP1,dipeptidase 1
5354,-1,-8.165474111,-9.904315388,-6.426632834,3.45E-20,0,1,84.71086422,3.45E-20,FALSE,4,PLP1,proteolipid protein 1
11155,-1,-6.806002141,-8.100568844,-5.511435438,6.74E-25,0,1,106.1772517,6.74E-25,FALSE,5,LDB3,LIM domain binding 3
92736,-1,-8.60199896,-10.74692754,-6.457070375,3.83E-15,0,1,61.78304084,3.83E-15,FALSE,6,OTOP2,otopetrin 2
6493,2,6.772588529,5.453262498,8.091914561,8.20E-24,0.829426078,0.362438537,101.2281501,8.20E-24,FALSE,7,SIM2,SIM bHLH transcription factor 2
5068,1,9.126974205,6.566849276,11.68709913,2.80E-12,0,1,48.82334284,2.80E-12,FALSE,8,REG3A,regenerating family member 3 alpha
57167,2,6.725396896,5.311017511,8.139776281,1.17E-20,0.003821691,0.950706311,86.85607197,1.17E-20,FALSE,9,SALL4,spalt like transcription factor 4
343,-2,-6.454894143,-7.769281474,-5.140506813,6.25E-22,9.81E-05,0.992096893,92.64621956,6.25E-22,FALSE,10,AQP8,aquaporin 8
4316,2,6.917609315,5.250902632,8.584315999,4.13E-16,1.629222396,0.201810636,66.1743813,4.13E-16,FALSE,11,MMP7,matrix metallopeptidase 7
144501,2,5.811065163,4.667118062,6.955012264,2.37E-23,1.185704955,0.276197633,99.12787336,2.37E-23,FALSE,12,KRT80,keratin 80
4312,2,6.064486072,4.789578878,7.339393266,1.13E-20,0.048903367,0.824982602,86.92146642,1.13E-20,FALSE,13,MMP1,matrix metallopeptidase 1
222008,-1,-7.321512437,-9.225110316,-5.417914559,4.76E-14,0,1,56.8260366,4.76E-14,FALSE,14,VSTM2A,V-set and transmembrane domain containing 2A
3745,-1,-6.803732613,-8.448893877,-5.158571349,5.25E-16,0,1,65.70126123,5.25E-16,FALSE,15,KCNB1,potassium voltage-gated channel subfamily B member 1
1470,2,6.205465058,4.810105382,7.600824735,2.87E-18,1.30E-05,0.997126424,75.97531582,2.87E-18,FALSE,16,CST2,cystatin SA
22871,-1,-7.452145085,-9.480668325,-5.423621846,6.01E-13,0,1,51.84403681,6.01E-13,FALSE,17,NLGN1,neuroligin 1
2118,2,5.103678846,4.241997221,5.965360471,3.72E-31,0.150755261,0.697814646,134.7625421,3.72E-31,FALSE,18,ETV4,ETS variant transcription factor 4
590,-1,-7.172203731,-9.083545768,-5.260861693,1.91E-13,0,1,54.09094807,1.91E-13,FALSE,19,BCHE,butyrylcholinesterase
282996,-1,-6.320882648,-7.826769149,-4.814996146,1.92E-16,0,1,67.68106066,1.92E-16,FALSE,20,RBM20,RNA binding motif protein 20
6750,-1,-6.299647734,-7.803167549,-4.796127919,2.17E-16,0,1,67.43888794,2.17E-16,FALSE,21,SST,somatostatin
5653,1,7.298715648,5.243128937,9.354302359,3.42E-12,0,1,48.4303344,3.42E-12,FALSE,22,KLK6,kallikrein related peptidase 6
1001,2,5.462306161,4.344089815,6.580522507,1.03E-21,0.225305023,0.63502715,91.66353168,1.03E-21,FALSE,23,CDH3,cadherin 3
1804,-1,-7.227860229,-9.271808428,-5.18391203,4.18E-12,0,1,48.0370029,4.18E-12,FALSE,24,DPP6,dipeptidyl peptidase like 6
645202,1,7.316663659,5.219642337,9.41368498,8.00E-12,0,1,46.76454058,8.00E-12,FALSE,25,GOLGA6L24,golgin A6 family like 24
766,-1,-6.562210005,-8.314026309,-4.810393701,2.11E-13,0,1,53.90379019,2.11E-13,FALSE,26,CA7,carbonic anhydrase 7
101929705,2,5.562731562,4.314332813,6.811130312,2.47E-18,0.157882521,0.691113557,76.27210597,2.47E-18,FALSE,27,,
26353,-1,-5.949522401,-7.400536568,-4.498508235,9.26E-16,0,1,64.58283199,9.26E-16,FALSE,28,HSPB8,heat shock protein family B (small) member 8
762,-2,-5.231475887,-6.350972544,-4.111979229,5.24E-20,0.489685559,0.484067603,83.8878445,5.24E-20,FALSE,29,CA4,carbonic anhydrase 4
100132202,1,7.055795143,4.94256419,9.169026095,5.99E-11,0,1,42.82468544,5.99E-11,FALSE,30,GOLGA6L25,golgin A6 family like 25
164832,-1,-6.426358633,-8.216072027,-4.636645238,1.95E-12,0,1,49.52895007,1.95E-12,FALSE,31,LONRF2,LON peptidase N-terminal domain and ring finger 2
728192,1,6.421220407,4.624314951,8.218125862,2.49E-12,0,1,49.05472915,2.49E-12,FALSE,32,,
110599563,2,5.662407936,4.248951752,7.075864121,4.10E-15,0.02186851,0.88243743,61.65010052,4.10E-15,FALSE,33,LY6G6F-LY6G6D,LY6G6F-LY6G6D readthrough
266675,-1,-6.212774068,-7.926200698,-4.499347438,1.19E-12,0,1,50.50522129,1.19E-12,FALSE,34,BEST4,bestrophin 4
58530,2,5.613789599,4.20019937,7.027379827,7.05E-15,0.025266504,0.873704795,60.58447882,7.05E-15,FALSE,35,LY6G6D,lymphocyte antigen 6 family member G6D
11082,1,6.657710392,4.668331528,8.647089255,5.41E-11,0,1,43.02401956,5.41E-11,FALSE,36,ESM1,endothelial cell specific molecule 1
2980,-2,-5.166795728,-6.390959572,-3.942631884,1.31E-16,0.237446355,0.626056606,68.43206868,1.31E-16,FALSE,37,GUCA2A,guanylate cyclase activator 2A
57214,2,4.594250398,3.667363365,5.521137432,2.61E-22,0.003661363,0.951750089,94.37824378,2.61E-22,FALSE,38,CEMIP,cell migration inducing hyaluronidase 1
4888,-1,-6.41550489,-8.338108106,-4.492901674,6.14E-11,0,1,42.77386887,6.14E-11,FALSE,39,,
5222,-1,-6.677808861,-8.764108463,-4.591509259,3.53E-10,0,1,39.35598622,3.53E-10,FALSE,40,PGA5,pepsinogen A5
547,-1,-7.175727102,-9.539694838,-4.811759366,2.69E-09,0,1,35.39524477,2.69E-09,FALSE,41,KIF1A,kinesin family member 1A
154064,2,5.278275337,3.905018812,6.651531863,4.95E-14,0.505470771,0.477106125,56.75144467,4.95E-14,FALSE,42,RAET1L,retinoic acid early transcript 1L
