Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
CDK1,137,0.0528554119138493,0.311492193498848,1,2.730255452
CCNA2,112,0.00591393411008891,0.28716375648891,0.93340045457346,1.768148991
CCNB1,111,0.013927901435051,0.297846304454234,0.923953913056963,2.251564648
CDC20,108,0.00921370269163209,0.285345838218054,0.906485600741094,2.078853692
BUB1B,104,0.00677066894461309,0.273975686627645,0.906956927178349,2.036163427
CENPA,104,0.010545389372258,0.281192236598891,0.797862959085749,2.307710478
BUB1,102,0.00734735294164727,0.272992373261552,0.918275104343959,2.246662825
PLK1,99,0.0130353670910635,0.295460063122117,0.822461665769535,2.570738915
TOP2A,96,0.0052585410649594,0.271288452964779,0.862520276256363,2.773894273
KIF11,93,0.00207074731221967,0.268475623207589,0.89041068562153,1.844348669
CCNB2,93,0.00142628257079773,0.272381378692928,0.867570048252652,1.894853801
CDC45,93,0.00446118208907247,0.27453191969321,0.735461672263516,2.068778789
NUF2,92,0.000974635884888388,0.266476899496387,0.877599609546291,2.961529796
AURKB,92,0.00348072108153912,0.283947736817546,0.866469877396022,1.794601337
DLGAP5,88,0.00200384291799748,0.267003071522598,0.856780904621132,2.276511581
BIRC5,86,0.00321610911910241,0.283616872523887,0.839472674383617,2.057911852
EXO1,85,0.005866204943744,0.265604539502401,0.63303978905086,1.971206103
MAD2L1,84,0.000992939425140852,0.265141612200436,0.80356683432443,2.235830059
CDCA8,83,0.00784768957726229,0.272686533721712,0.812325594775516,1.810178049
ASPM,81,0.00342480627167988,0.265199389845282,0.809362173753929,2.581745836
KIF20A,81,0.00825247374653532,0.272198613285618,0.81361450453833,2.157953754
CENPF,80,0.000440775401112661,0.264622744074799,0.816138311029043,2.291225375
MELK,79,0.00110249951058946,0.270926090828139,0.804953525160723,2.416415673
NCAPG,78,0.000857939112683705,0.265894690845532,0.802309356132972,2.236875746
KIF2C,78,0.000279446329982428,0.265026132404181,0.821558485595564,2.450376705
HJURP,77,0.00298518272501313,0.273360287511231,0.757672875211511,2.517427663
TTK,76,0.00037214249803843,0.2649684302199,0.804031170242882,2.764775495
CEP55,76,0.0011176244080541,0.264680295780774,0.781054332907467,2.459052037
CENPE,75,0.000418415236169231,0.262171477811288,0.769718262835816,2.155335058
UBE2C,75,0.00107167351736143,0.267884657715166,0.738068540887223,3.16030377
CHEK1,75,0.0107105571952359,0.288183755623964,0.542344647627754,1.700711503
NUSAP1,75,0.000311765115430407,0.2649684302199,0.797808231831376,2.004561095
TPX2,74,0.000319317296979582,0.263762462071955,0.787280671407983,2.806913925
RRM2,74,0.0112898587653378,0.274099099099099,0.703847436403909,2.1878196
KIF4A,72,0.000347694159636901,0.266010928961749,0.777913975416307,2.501892197
AURKA,71,0.00478026601853212,0.282825935393911,0.731116826041795,2.0068386
ESPL1,71,0.00309062565895573,0.266827450120588,0.70830601610252,1.63964196
KIF23,68,0.00156796320682262,0.262624082865775,0.741549272663896,1.463914705
KIF15,68,0.0010122344286501,0.263192041522491,0.720420549506798,1.630980054
CDC6,67,0.00780552425154598,0.286083685942642,0.505533639107895,2.060243351
HMMR,67,0.0165691644668144,0.285680751173709,0.712780491927233,2.294059287
MCM10,67,0.00153845371360012,0.266010928961749,0.519610591769256,2.373571375
H3C12,66,0.0244325617162125,0.296901683337399,0.199206485800765,2.279247873
CDCA5,65,0.00146571245795251,0.26048801369863,0.68663652048807,2.349069508
ZWINT,65,0.00213175521512436,0.26817981489643,0.693111681788329,1.369307409
MCM4,63,0.00173906552073006,0.263248972528661,0.430343647806525,1.34961004
CDCA3,63,0.000297917531299297,0.262624082865775,0.689893754245396,2.229721216
MYC,63,0.0942447770502858,0.330347448425624,0.172661854131733,1.560274065
NEK2,62,0.000156490890456844,0.262171477811288,0.703041567905929,3.057000333
MKI67,62,0.005891385697576,0.266360253884876,0.674635314528425,1.967434752
PRC1,61,8.37989620818799e-05,0.261945759793371,0.711703205601032,1.584102579
FOXM1,60,0.00188298195396176,0.281974050046339,0.643939412361858,2.193344555
RACGAP1,58,0.000163376885000871,0.262058570198105,0.658225021680864,1.371953996
KIF14,57,0.00150178091533651,0.257293868921776,0.612878665704061,2.951626653
MCM2,55,0.00303312659543055,0.261945759793371,0.28384949168624,1.440960991
CDK2,55,0.00986698986406021,0.296251217137293,0.347087845517483,1.112080128
NCAPH,54,9.35959335415997e-05,0.256048811277088,0.60306748747786,1.980175202
KIF18A,53,0.000818654679503348,0.25561856752783,0.562876163527353,2.306081645
IL1B,53,0.0560065298852141,0.306086519114688,0.0047309252083699,2.145074979
CDT1,53,0.00128237285908616,0.262737478411054,0.388974098777588,1.678129141
MCM7,53,0.00188880732825418,0.264220581849761,0.343118364768329,1.245813532
SPAG5,52,0.00136626322728202,0.260153911928174,0.616830200340462,1.516167406
KIFC1,51,0.000621422733746815,0.256913658433608,0.591587139709421,1.984301773
CDKN3,49,0.000366256106899323,0.266185476815398,0.568151998420257,1.945488925
CENPN,49,0.000735091286983486,0.253700229309985,0.399336734092439,1.227228652
SGO1,48,0.0013128818297441,0.264220581849761,0.520156293281007,1.78229511
ANLN,48,0.000369264560492508,0.261889391004949,0.540940276661412,2.421619057
PCLAF,47,0.000144114157100719,0.263192041522491,0.542525033375745,1.412580694
DEPDC1,47,3.68527536563497e-05,0.25762066045724,0.551358765267751,2.296651049
PLK4,46,0.00402727105896252,0.256588656968164,0.498148037184865,1.562632992
SKA1,46,0.00014417151645393,0.253277835587929,0.504233400343917,1.823329027
TRIP13,45,2.03838909749119e-05,0.257293868921776,0.560310720497354,2.391537615
CDCA2,45,0.00126142303647817,0.257293868921776,0.502575211978174,1.813734012
SMC4,45,0.000169966477581331,0.256913658433608,0.474997792339894,1.082691008
H4C11,45,0.000728057825281988,0.249692244562987,0.089796393200069,1.703945653
ECT2,45,0.000999954141458345,0.265778554269491,0.525360469304087,2.212581516
H4C9,45,0.000728057825281988,0.249692244562987,0.0897963932000688,1.505937841
RAD51AP1,44,0.000724737644389328,0.260934819897084,0.428558023191341,2.222163731
RFC4,44,0.00043918735522399,0.254177109440267,0.354633939529041,1.405237852
H4C15,44,0.000712995912192051,0.249641025641026,0.0893112296928796,1.696482728
H4C14,44,0.000712995912192051,0.249641025641026,0.0893112296928798,1.714558791
H4C12,44,0.000712995912192051,0.249641025641026,0.0893112296928796,1.699462833
EZH2,42,0.0182532890523422,0.289623988576868,0.0939631603591517,1.766442123
PRKACB,42,0.0820441740557508,0.313417460726243,0.00191464997067248,-1.868070606
SPC25,41,5.91964315317396e-05,0.258991274739306,0.484154706985934,2.165701244
BRCA2,41,0.015904587060659,0.288730723606168,0.195090721383564,2.352107652
H2AC18,40,0.00725105792598294,0.272869955156951,0.0833576667942613,1.297470994
KNL1,39,0.00013864509164238,0.254922496857981,0.416584212591539,1.719534536
CENPI,39,0.000709326985241952,0.252961962170027,0.325754063573399,1.669851775
H2AX,39,0.00300428015435473,0.276779622469866,0.149712126058303,1.117944534
DTL,38,0.00444180064082832,0.260599571734475,0.367423238210982,1.907712633
SKA3,37,8.72790733462987e-05,0.253330557868443,0.389609340564081,2.105784295
CDK4,36,0.00717258478691527,0.288730723606168,0.209232733420801,1.272442446
ASF1B,36,0.00427195483715591,0.258551094115148,0.318282706523372,1.359725922
CXCL8,36,0.0161415947977212,0.280738177623991,0.00085975372369798,3.504749254
E2F1,36,0.00720145899816469,0.290661571530929,0.178485846607524,1.566667914
CD44,36,0.0566875927650719,0.31117361288673,0.0152893233463407,1.482534645
CKAP2L,35,1.73673190882371e-05,0.253858990404673,0.417765876178188,2.619968976
GNG2,35,0.0216635977352363,0.279834444699931,0.000174833097066364,-1.558491316
CENPH,34,0.000495421510473274,0.252751817237799,0.276224486176756,1.649137222
H2AC8,34,0.000268564351746593,0.247760586319218,0.0436664624025097,1.374463373
H2BC7,33,8.81535029138609e-05,0.240990099009901,0.060277414881519,1.694764548
H2BC10,33,8.81535029138609e-05,0.240990099009901,0.0602774148815189,1.813707422
CDKN1A,33,0.00616516507826263,0.289486203615604,0.181534944362671,-1.480544932
NCAPG2,33,7.3583633787662e-05,0.256102693602694,0.341100386176057,1.351026248
SMC2,32,6.49538204287399e-05,0.247307457833774,0.318080419384639,1.126759051
SHCBP1,32,1.49921120233045e-05,0.242962667199042,0.371044895483975,2.021411672
H2BC8,32,8.06141144459958e-05,0.240942387646011,0.0598915929769531,1.578256807
H2BC6,32,8.06141144459958e-05,0.240942387646011,0.0598915929769531,1.444884785
IL1A,31,0.00367904880913348,0.269486271036315,0.000800965015423145,5.615830605
CACNA1C,31,0.0305333688665152,0.279256539697109,0.000388931834834665,-2.633418327
H2AC13,31,0.000103384648516331,0.243594875900721,0.0418649424946595,1.849826124
PCNA,31,0.000743951554675564,0.257293868921776,0.210432503505497,1.370699797
BCL2,31,0.0564625996207966,0.325140261822068,0.05451001244453,-1.590440105
H3C2,31,0.000214587538046751,0.245808927489396,0.048455752057677,1.600868518
NIFK,30,0.00736240198211551,0.235807014144546,0.0115681275955141,1.248389324
MRTO4,30,0.00778839726529398,0.230143721633888,0.000911781693900723,1.011163688
POLA1,30,0.000534021546620548,0.24645605508303,0.116985595051926,1.193085351
RFC3,30,0.000352598128325665,0.253594498853928,0.185660590202138,2.137088291
NOP56,30,0.0138053099420484,0.249538650809924,0.00723183918783267,1.107879359
BOP1,30,0.00743965442703195,0.243936660653438,0.00163551185285435,1.159669092
H2BC14,30,0.00134916077101335,0.267296288161652,0.0620201929374614,1.63716248
GNAI1,30,0.0216254732461515,0.276026309820821,0.000118077194803682,-1.759844857
FANCI,29,0.000652725773160375,0.252123472135902,0.210190739944704,1.562286323
CLSPN,29,0.000556526638494919,0.25285684604197,0.159111178684219,1.411446561
MMP9,29,0.0244920382088876,0.297119140625,0.0043398475083442,2.316968591
CDC7,29,0.000306981134015753,0.255029337803856,0.201324351606567,1.664562698
RPF2,29,0.00163840362812675,0.22391904323827,0.000723510037368481,1.138528552
H2BC17,29,0.000205915890812591,0.245066451872735,0.0607572681037757,2.232521583
KIF18B,29,2.82577993123049e-06,0.2434,0.349418049207746,2.139752215
TROAP,28,3.3052185801306e-05,0.245808927489396,0.325088123860221,2.446842306
WDR12,28,0.00119730781665862,0.214676309754807,0.000772524971703341,1.253914963
FGF2,28,0.0161634770730893,0.290453460620525,0.00357873262349766,-2.376299919
GNAQ,28,0.0275395599158219,0.273975686627645,0.000100536090258571,-1.305183393
KNTC1,28,3.40214743941911e-05,0.25036000822876,0.334828116926666,1.540499454
