Symbol,Module,Degree,Log2FC
PPARGC1A,1,22,-2.17018965
AOX1,1,22,-1.541298953
MAPT,1,20,-3.35677094
ADH1C,1,17,-4.990729869
UGT1A1,1,16,-2.99363621
ADH1B,1,16,-3.897421842
UGT1A10,1,16,-3.24620866
UGT1A4,1,16,-2.591749327
UGT1A8,1,16,-3.025733549
CYP2B6,1,15,1.800155258
ADH1A,1,13,-4.76244268
SYP,1,13,-2.558870699
CYP19A1,1,13,3.614688331
NR1H4,1,13,-3.287510795
UGT2B17,1,12,-3.483319818
MAOB,1,12,-3.344818136
HPGDS,1,11,-2.105486168
CYP2S1,1,11,1.902788439
UGT2B15,1,11,-3.617433074
UGT1A3,1,11,-2.5993198
NR0B2,1,10,2.440232471
UGDH,1,10,-1.813209973
MAOA,1,10,-1.755221722
PRKN,1,10,-1.391932411
GPX2,1,10,1.738334105
NEFL,1,10,-4.529232764
RAB3A,1,9,-1.534244931
HSD17B2,1,8,-3.411057349
SYN1,1,8,-2.335063646
VAMP2,1,8,-1.512623049
GABARAPL1,1,8,-1.388564511
MFN2,1,8,-1.124430873
CES2,1,8,-1.471053948
TPH1,1,7,-3.84628623
GSTM5,1,7,-2.156273208
DPYD,1,7,-1.336783323
UGT1A5,1,7,-2.567488882
PINK1,1,7,-1.531885278
GGT6,1,7,-1.739602417
FABP6,1,7,5.649782134
SLC6A4,1,6,1.964373159
BCHE,1,6,-7.172203731
LRRK2,1,6,-1.477923052
SLC2A4,1,6,-3.372116245
NR5A2,1,6,-1.493766308
GAP43,1,6,-5.566668776
ADHFE1,1,6,-2.423540417
KIF1A,1,6,-7.175727102
ABCC2,1,6,2.987355484
ABCB11,1,6,-4.199114957
NEFM,1,5,-3.909382597
SLC51A,1,5,-4.325504936
ACHE,1,5,-2.619835559
SLC51B,1,5,-3.582198724
AKR1B10,1,5,-3.513657412
MAP2,1,5,-3.168550515
DES,1,5,-5.437106554
FOXA2,1,5,1.841775502
RXRA,1,5,-1.146032609
ATP8B1,1,5,-1.440397128
PTGS1,1,5,-3.024872604
MUSK,1,5,-3.010408155
RETSAT,1,4,-2.151157986
PRDX6,1,4,-1.660330391
KIF5C,1,4,-3.241812396
DHRS11,1,4,-2.419871263
CYP26B1,1,3,-2.430152791
PDK4,1,3,-3.252219063
TGDS,1,3,1.643876659
SORD,1,3,2.116656351
GGCT,1,3,1.388880743
PTGDR,1,3,-2.882315599
TRAK2,1,3,-1.083755267
GABRE,1,3,1.845226896
SYTL4,1,3,-1.370196256
SNAP91,1,3,-4.305438529
DIO2,1,3,2.135391195
RIMS1,1,3,-2.521741655
DHRS9,1,3,-3.807757433
CYP4F3,1,2,1.400906282
STBD1,1,2,-2.03934389
WDR7,1,2,-1.075620618
PRPH,1,2,-4.221881337
RDH5,1,2,-2.358911212
CHRNA1,1,2,-2.784774499
FABP2,1,2,-1.629393297
FYCO1,1,2,-1.498293392
CHRFAM7A,1,2,-2.687800678
RETREG1,1,2,-1.616938258
PCK1,1,2,-2.001818477
KIF1C,1,2,-1.44713703
PTGDR2,1,2,-4.0658804
THRB,1,2,-2.469704663
AAK1,1,2,-1.394733039
RAB3IP,1,2,1.063820656
NBPF1,1,2,-1.913225161
PTPN21,1,2,-1.945010338
ONECUT2,1,2,2.986072885
PDXP,1,1,-1.426752661
TBC1D1,1,1,-1.356245861
PDZRN3,1,1,-2.188975412
CYP39A1,1,1,1.828073869
MTERF3,1,1,1.187798348
CMBL,1,1,-1.924797895
GOLT1A,1,1,1.813549251
CLTB,1,1,-1.060132842
ATG4D,1,1,-1.385099247
TRIM2,1,1,1.164369468
TRIM29,1,1,4.019982449
TP53INP2,1,1,-2.422807032
CEP83,1,1,1.179580506
ATP11A,1,1,1.855060792
RAB3B,1,1,-2.148608646
EPM2A,1,1,-2.150311736
ROGDI,1,1,-1.462668732
GPR180,1,1,1.348076836
SLC22A3,1,1,2.436955803
SYNGR1,1,1,-3.523000095
PRIMA1,1,1,-4.597562053
NFE2L1,1,1,-1.197464487
TSHZ1,1,1,-1.383331884
SLC6A20,1,1,3.946898031
CHRNA7,1,1,-2.65193155
NIT2,1,1,1.313762147
TBC1D4,1,1,1.184751952
NCR3LG1,1,1,1.393128678
PLCL1,1,1,-1.828811992
RAB27A,1,1,-1.299008864
STMN2,1,1,-3.579523833
GUCA2A,2,4,-5.166795728
MS4A12,2,3,-4.930340015
CLCA4,2,2,-7.951849513
TMIGD1,2,1,-6.408679057
ANO2,2,1,-2.48814204
AQP8,2,1,-6.454894143
GUCA2B,2,1,-7.264360973
CDK1,3,137,2.730255452
CCNA2,3,112,1.768148991
CCNB1,3,111,2.251564648
CDC20,3,108,2.078853692
BUB1B,3,104,2.036163427
CENPA,3,104,2.307710478
BUB1,3,102,2.246662825
PLK1,3,99,2.570738915
TOP2A,3,96,2.773894273
KIF11,3,93,1.844348669
CCNB2,3,93,1.894853801
NUF2,3,92,2.961529796
AURKB,3,92,1.794601337
DLGAP5,3,88,2.276511581
BIRC5,3,86,2.057911852
MAD2L1,3,84,2.235830059
CDCA8,3,83,1.810178049
ASPM,3,81,2.581745836
KIF20A,3,81,2.157953754
CENPF,3,80,2.291225375
MELK,3,79,2.416415673
NCAPG,3,78,2.236875746
KIF2C,3,78,2.450376705
HJURP,3,77,2.517427663
TTK,3,76,2.764775495
CEP55,3,76,2.459052037
CENPE,3,75,2.155335058
UBE2C,3,75,3.16030377
NUSAP1,3,75,2.004561095
TPX2,3,74,2.806913925
RRM2,3,74,2.1878196
KIF4A,3,72,2.501892197
AURKA,3,71,2.0068386
ESPL1,3,71,1.63964196
KIF23,3,68,1.463914705
KIF15,3,68,1.630980054
HMMR,3,67,2.294059287
CDCA5,3,65,2.349069508
ZWINT,3,65,1.369307409
CDCA3,3,63,2.229721216
NEK2,3,62,3.057000333
MKI67,3,62,1.967434752
PRC1,3,61,1.584102579
FOXM1,3,60,2.193344555
RACGAP1,3,58,1.371953996
KIF14,3,57,2.951626653
NCAPH,3,54,1.980175202
KIF18A,3,53,2.306081645
SPAG5,3,52,1.516167406
KIFC1,3,51,1.984301773
CDKN3,3,49,1.945488925
CENPN,3,49,1.227228652
SGO1,3,48,1.78229511
ANLN,3,48,2.421619057
PCLAF,3,47,1.412580694
DEPDC1,3,47,2.296651049
PLK4,3,46,1.562632992
SKA1,3,46,1.823329027
TRIP13,3,45,2.391537615
CDCA2,3,45,1.813734012
SMC4,3,45,1.082691008
ECT2,3,45,2.212581516
RAD51AP1,3,44,2.222163731
SPC25,3,41,2.165701244
KNL1,3,39,1.719534536
CENPI,3,39,1.669851775
DTL,3,38,1.907712633
SKA3,3,37,2.105784295
ASF1B,3,36,1.359725922
CKAP2L,3,35,2.619968976
CENPH,3,34,1.649137222
NCAPG2,3,33,1.351026248
SMC2,3,32,1.126759051
SHCBP1,3,32,2.021411672
KIF18B,3,29,2.139752215
TROAP,3,28,2.446842306
KNTC1,3,28,1.540499454
MYBL2,3,27,2.891427138
CKS2,3,27,2.110883119
MND1,3,26,1.683030594
UHRF1,3,26,1.94176403
UBE2T,3,26,1.731857081
ERCC6L,3,25,2.729461733
CKAP2,3,25,2.214717966
SPC24,3,24,1.345028081
DEPDC1B,3,23,2.65144534
GTSE1,3,23,1.86998389
CCNF,3,22,1.603321965
KPNA2,3,22,1.404603001
NCAPD2,3,21,1.183727176
UBE2S,3,18,1.467976185
SGO2,3,17,1.931562099
ARHGAP11A,3,15,1.884154963
FBXO5,3,14,1.767369224
CDC25B,3,14,2.088399891
PKMYT1,3,11,2.111853041
HASPIN,3,11,1.632758662
PIMREG,3,10,1.912031844
STIL,3,10,1.429673828
BORA,3,10,1.647139681
SPDL1,3,9,1.308584179
KNSTRN,3,8,1.164307449
CDC14A,3,8,-1.394832181
PARPBP,3,7,2.37970125
KIF17,3,6,-2.55147165
IQGAP3,3,5,2.475342887
CPEB3,3,4,-1.407222013
CCNO,3,4,4.457767027
DIAPH3,3,4,2.484762915
AJUBA,3,2,2.102712567
CHMP4C,3,2,1.462355922
WDR62,3,2,1.667643981
RCN1,3,1,1.15146453
KCTD9,3,1,-1.434152837
SVIL,3,1,-2.448770129
TDP2,3,1,-1.192450096
PHLDA1,3,1,2.100963721
MTFR2,3,1,2.137806955
PAQR5,3,1,-1.486616058
DDIAS,3,1,2.067475136
ARHGAP11B,3,1,1.752727677
MYC,4,63,1.560274065
FOS,4,22,-2.083678995
AR,4,19,-2.313252718
PGR,4,14,-3.23254248
NR3C1,4,13,-1.684064959
EGR1,4,12,-1.635627975
LEF1,4,12,3.555626563
FKBP5,4,11,-1.450037647
ATF3,4,10,-1.730057888
PBX1,4,10,-1.500133433
EPAS1,4,9,-1.123140649
LGR5,4,9,3.491956272
KLF4,4,9,-2.722606151
FZD10,4,8,3.802424951
DUSP1,4,8,-2.025900074
FOSB,4,8,-2.762170187
JUND,4,8,-1.380268655
AXIN2,4,8,2.227034738
NR3C2,4,8,-2.878654657
CYP24A1,4,7,5.549911839
APC,4,7,-1.10593207
TCF7,4,7,3.012370806
WNT3,4,6,2.48594339
TCF7L1,4,6,-2.481154228
CA2,4,6,-4.776706422
