Gene_ID,n_datasets
10004,2
10007,2
1001,2
100127983,2
100129792,2
10020,2
10024,2
100529097,2
100533107,2
100533181,2
100533990,2
100631383,2
100820829,2
10085,2
10090,2
10103,2
10110,2
10112,2
1017,2
10170,2
101730217,2
1019,2
10196,2
10208,2
10212,2
10223,2
10232,2
1026,2
10272,2
102724250,2
10290,2
10293,2
1030,2
10317,2
1033,2
10335,2
10351,2
10444,2
10449,2
10455,2
10462,2
10529,2
10535,2
10537,2
10544,2
10549,2
1056,2
10576,2
1058,2
10586,2
10602,2
10606,2
10614,2
1063,2
10635,2
10669,2
10672,2
10732,2
10733,2
10749,2
10793,2
10797,2
10799,2
10808,2
10813,2
10826,2
1087,2
10875,2
10882,2
10891,2
10894,2
10913,2
10924,2
10926,2
10953,2
10990,2
11004,2
11006,2
1101,2
11037,2
110599563,2
11065,2
11075,2
11095,2
11099,2
111,2
1111,2
1113,2
11130,2
1114,2
11142,2
11148,2
11149,2
1116,2
11162,2
11164,2
11170,2
11174,2
11226,2
11228,2
11240,2
112476,2
11252,2
11260,2
11261,2
112858,2
113026,2
113115,2
113130,2
11335,2
11343,2
11346,2
114088,2
114898,2
114907,2
115,2
115557,2
115795,2
115908,2
1160,2
1164,2
116447,2
116496,2
116535,2
1181,2
1184,2
118429,2
118932,2
1191,2
120071,2
120892,2
1215,2
122060,2
123264,2
1238,2
124222,2
124460,2
124872,2
124930,2
124975,2
125,2
126,2
126393,2
1264,2
1271,2
127845,2
128239,2
128272,2
128312,2
129049,2
1294,2
1298,2
129807,2
130,2
130340,2
130497,2
131096,2
1311,2
133522,2
134147,2
134637,2
135398,2
1368,2
137075,2
1374,2
1376,2
137872,2
138151,2
1384,2
139886,2
140545,2
140803,2
140838,2
140893,2
1410,2
1434,2
1440,2
144402,2
144455,2
144501,2
145483,2
145741,2
1464,2
1465,2
146556,2
146691,2
1469,2
1470,2
147372,2
147699,2
148534,2
148808,2
150223,2
150468,2
150726,2
1510,2
1511,2
1512,2
151246,2
151742,2
152007,2
152189,2
153090,2
154064,2
154810,2
1555,2
158135,2
158471,2
158584,2
159296,2
1594,2
1602,2
1608,2
1612,2
161753,2
162461,2
162514,2
163175,2
166336,2
166968,2
1674,2
1675,2
1678,2
169611,2
169981,2
171024,2
171586,2
1736,2
1756,2
1760,2
1773,2
1780,2
1805,2
1806,2
1811,2
1820,2
1825,2
183,2
1831,2
1836,2
1837,2
1843,2
1869,2
1871,2
1875,2
1889,2
1894,2
1902,2
1908,2
1909,2
191,2
192134,2
1944,2
1951,2
1958,2
196996,2
197257,2
200765,2
200879,2
2009,2
200916,2
200931,2
200942,2
201501,2
201895,2
203,2
203260,2
203859,2
2041,2
2045,2
2048,2
2049,2
206358,2
2069,2
2110,2
2118,2
2125,2
2139,2
2146,2
2177,2
2187,2
219348,2
219654,2
219790,2
2199,2
220108,2
220441,2
220963,2
220992,2
221091,2
221150,2
221393,2
221662,2
221895,2
222643,2
2247,2
2255,2
225689,2
2263,2
2273,2
22802,2
22822,2
22849,2
2289,2
22894,2
2294,2
2295,2
22974,2
23022,2
23024,2
23034,2
23035,2
23048,2
2305,2
23052,2
23089,2
23125,2
23136,2
23139,2
23140,2
2316,2
23179,2
2318,2
23228,2
23246,2
23250,2
23284,2
23302,2
23321,2
23322,2
23331,2
23335,2
23336,2
23345,2
23359,2
23382,2
23384,2
23397,2
23466,2
23474,2
23483,2
23491,2
23492,2
23500,2
23509,2
2353,2
2354,2
23551,2
23563,2
23584,2
23594,2
23635,2
23650,2
23657,2
23710,2
23743,2
24137,2
248,2
2491,2
2517,2
2523,2
253012,2
253152,2
253714,2
254102,2
254439,2
2549,2
255738,2
257019,2
257194,2
257407,2
25777,2
25788,2
25802,2
25822,2
2584,2
25840,2
25849,2
25879,2
25886,2
25890,2
25894,2
259266,2
25928,2
259307,2
25937,2
25959,2
25975,2
25984,2
25994,2
25999,2
26020,2
26031,2
26033,2
26040,2
26112,2
26271,2
26354,2
2648,2
26499,2
26504,2
2651,2
26579,2
26586,2
2674,2
26747,2
2675,2
2676,2
26960,2
26994,2
27042,2
2707,2
27074,2
27076,2
27085,2
27111,2
27115,2
27129,2
27132,2
27145,2
27147,2
27163,2
27250,2
27284,2
27304,2
27314,2
27338,2
27346,2
2744,2
2767,2
2774,2
2775,2
2776,2
2786,2
2819,2
2822,2
28231,2
283316,2
283349,2
284076,2
284194,2
284346,2
284403,2
284422,2
284716,2
284958,2
28513,2
285195,2
2852,2
285313,2
285382,2
285671,2
286077,2
286133,2
286749,2
2875,2
2886,2
2899,2
290,2
29028,2
2904,2
2906,2
29070,2
2908,2
29089,2
29107,2
29128,2
2918,2
2919,2
2921,2
2934,2
2949,2
2963,2
2971,2
29785,2
2980,2
2981,2
29841,2
29899,2
29923,2
2995,2
29951,2
29953,2
29968,2
30,2
30001,2
3002,2
3007,2
3014,2
3039,2
3040,2
30815,2
3131,2
3149,2
3159,2
3170,2
317649,2
32,2
320,2
3248,2
3291,2
3294,2
3306,2
332,2
3329,2
3336,2
3352,2
3360,2
3371,2
339977,2
340527,2
340706,2
341,2
343,2
344,2
346389,2
348093,2
348249,2
35,2
3557,2
3559,2
3570,2
3576,2
3590,2
3604,2
3624,2
3627,2
3651,2
3656,2
3671,2
3673,2
3679,2
3690,2
3706,2
3707,2
3708,2
3714,2
3725,2
3727,2
374383,2
374393,2
375775,2
376267,2
3764,2
377841,2
3779,2
3782,2
3784,2
38,2
3800,2
3833,2
3838,2
387103,2
387119,2
3872,2
3875,2
387849,2
388335,2
388364,2
389125,2
389677,2
389792,2
3899,2
390927,2
3918,2
3957,2
3976,2
3978,2
399665,2
400916,2
402415,2
4026,2
4051,2
408,2
4085,2
4092,2
4128,2
4129,2
4131,2
4135,2
4147,2
4151,2
4171,2
4173,2
4175,2
4176,2
4211,2
4212,2
4225,2
4233,2
4234,2
4237,2
4239,2
4254,2
4288,2
4299,2
43,2
4306,2
4312,2
4316,2
4318,2
4320,2
4321,2
4351,2
4359,2
440145,2
441631,2
443,2
445815,2
4485,2
4488,2
4493,2
4494,2
